0001-0109-0118,0001-0097-0091,0001-0073-0114,0001-0045-0079,0001-0117-0047,0001-0125-0028,0001-0125-0009,0001-0048-0145,0001-0096-0205,Average,Err
830.321,701.074,710.407,810.575,461.239,578.766,653.192,901.097,1086.843,748.168,57.993
870.934,694.774,722.106,807.746,449.560,569.345,648.407,965.583,1143.813,763.585,66.194
926.588,725.122,729.908,770.512,451.212,579.589,624.099,863.618,1238.978,767.736,71.662
1020.139,751.397,825.344,782.821,473.152,615.036,630.847,933.354,1380.022,823.568,83.933
1018.629,752.055,854.533,774.851,481.620,626.435,621.243,876.271,1516.313,835.772,94.579
983.200,743.402,843.072,777.890,443.109,620.730,610.314,855.201,1638.940,835.095,107.174
900.805,779.754,900.043,779.373,451.712,632.964,625.867,885.688,1611.075,840.809,102.483
864.119,804.084,966.364,796.692,447.630,667.075,604.780,890.993,1748.858,865.622,115.556
783.013,833.938,1051.524,789.320,460.989,684.318,587.099,846.812,1658.769,855.087,108.344
691.153,853.978,1153.982,797.512,427.897,662.766,614.096,873.160,1537.112,845.739,103.147
627.703,918.010,1256.490,806.701,423.598,704.973,617.893,854.632,1430.746,848.972,100.318
581.123,1036.439,1295.355,809.974,446.234,749.168,623.144,903.646,1250.657,855.082,92.618
592.118,1167.102,1214.674,811.431,458.750,811.643,653.311,894.340,989.000,843.596,79.790
588.557,1365.258,1127.730,827.913,458.179,969.192,716.096,880.667,932.619,874.024,86.045
580.629,1480.094,1010.366,808.133,451.228,1101.354,746.299,856.799,841.343,875.139,94.571
591.170,1523.663,932.007,815.021,447.875,1208.183,771.161,853.972,754.134,877.465,101.068
618.609,1456.717,849.778,772.100,474.848,1178.303,781.042,804.875,773.664,856.660,92.193
626.833,1359.586,794.002,809.619,457.755,1078.571,795.907,865.979,735.254,835.945,81.265
637.062,1165.705,729.364,821.646,447.940,977.517,723.520,819.312,735.754,784.202,63.762
661.570,1002.960,713.310,808.357,435.484,889.913,712.494,795.688,719.216,748.777,49.626
647.602,834.856,682.461,781.079,430.940,746.066,664.370,844.958,709.784,704.680,39.207
677.832,743.921,692.209,771.220,412.582,668.796,616.811,848.153,760.179,687.967,38.861
711.226,712.025,667.169,769.970,426.348,605.168,612.404,806.778,699.843,667.881,35.121
758.828,693.536,713.535,761.181,420.723,574.742,589.268,796.764,730.537,671.013,37.861
809.219,719.253,721.072,783.740,411.054,568.835,542.186,792.486,757.627,678.386,43.465
877.199,717.474,771.427,758.891,447.630,555.886,521.607,824.528,759.500,692.682,46.498
972.512,712.734,828.939,763.776,424.842,588.195,518.480,802.361,789.597,711.271,53.707
1048.434,756.871,877.667,770.422,455.663,594.622,486.754,815.243,799.507,733.909,59.864
1049.101,772.484,897.490,767.754,409.554,616.018,497.362,812.521,781.769,733.783,62.090
997.475,810.216,942.319,768.426,434.082,606.273,514.390,786.618,869.448,747.694,60.219
938.116,830.419,1000.364,810.178,439.766,662.859,524.777,801.486,814.425,758.043,57.622
844.925,853.903,1035.034,798.030,447.788,617.249,521.299,773.194,816.619,745.338,57.671
742.510,920.112,1188.998,824.397,430.739,649.736,532.116,780.014,766.679,759.478,69.128
658.360,987.300,1250.724,857.524,433.065,663.045,538.551,772.444,788.097,772.123,76.760
610.458,1168.223,1285.510,864.279,440.609,674.018,556.249,804.646,791.963,799.551,87.199
585.958,1313.514,1227.739,851.835,441.467,703.928,576.771,761.319,809.604,808.015,91.879
