0383-0244-0015,0383-0239-0038,0383-0187-0150,0383-0224-0175,0383-0193-0180,0383-0186-0197,0383-0021-0204,0383-0241-0187,Average,Err
553.549,608.533,671.761,540.918,534.400,634.156,375.356,388.845,538.440,35.592
559.810,607.629,697.824,528.723,552.476,623.575,377.558,402.736,543.791,35.850
545.641,634.639,668.593,546.727,567.049,656.413,370.816,393.993,547.984,37.351
554.539,621.652,668.254,563.155,532.231,620.188,375.290,401.567,542.110,34.598
556.706,640.540,672.009,534.641,540.476,666.419,367.843,399.901,547.317,38.050
551.940,641.692,676.508,526.836,553.444,641.850,374.077,404.070,546.302,36.558
548.992,640.523,687.555,537.877,580.747,646.294,382.544,410.063,554.324,36.434
559.281,620.619,685.006,548.714,570.720,648.919,373.476,404.268,551.375,36.636
558.083,632.275,677.966,543.168,558.827,634.519,367.664,394.539,545.880,37.030
547.922,638.526,692.839,551.286,548.071,644.281,373.980,411.197,551.013,36.950
555.872,654.033,682.340,550.150,565.053,641.631,373.970,400.331,552.923,37.565
561.385,626.328,683.471,540.191,559.511,640.694,365.230,400.546,547.170,37.206
551.299,631.623,685.179,566.477,533.516,676.575,376.112,403.592,553.047,38.140
569.221,645.401,694.602,525.509,574.791,613.494,379.312,412.183,551.814,36.170
558.424,642.894,678.183,550.009,561.449,660.956,379.656,397.151,553.590,37.469
564.833,633.070,689.133,544.977,547.982,662.219,373.058,396.141,551.427,38.338
567.146,630.248,686.503,547.977,588.164,638.875,377.674,403.866,555.057,36.566
541.370,628.166,687.207,532.250,546.084,671.544,379.529,397.475,547.953,37.998
546.305,625.871,672.996,540.395,532.578,658.825,374.077,405.979,544.628,36.357
550.414,636.089,660.226,559.377,545.849,662.319,384.359,400.549,549.898,35.806
553.594,650.076,711.183,544.127,565.280,650.044,378.756,400.729,556.724,39.037
557.013,640.424,697.890,563.032,549.516,662.156,369.521,401.239,555.099,38.999
546.479,637.732,699.176,551.177,573.671,625.725,373.130,411.049,552.267,36.829
550.729,611.927,680.742,558.700,559.809,665.281,376.593,404.028,550.976,36.606
