0001-0072-0197,0001-0135-0221,0001-0053-0078,0001-0069-0141,0001-0031-0146,0075-0005-0120,0075-0012-0134,0075-0018-0124,0075-0037-0127,0075-0055-0177,0001-0051-0194,0001-0094-0126,0001-0106-0097,0001-0136-0090,0001-0184-0111,0001-0217-0119,0133-0146-0150,0133-0139-0138,0133-0125-0164,0133-0176-0164,0133-0189-0158,0073-0183-0212,0073-0177-0183,0073-0159-0166,0073-0187-0053,0047-0177-0061,0047-0162-0053,0047-0176-0031,0040-0152-0093,0330-0248-0118,0350-0238-0158,0375-0211-0040,0336-0240-0021,Average,Err
699.799,294.637,287.290,319.466,251.187,290.707,289.744,312.949,320.057,459.062,286.891,244.666,300.179,264.948,413.557,281.720,246.330,287.050,532.739,310.548,297.364,385.455,244.247,261.348,240.545,252.897,382.105,243.614,386.405,288.067,285.823,284.165,244.001,317.866,16.378
672.970,295.102,279.040,331.131,246.760,287.524,284.641,293.949,292.057,445.028,265.905,247.000,292.211,265.974,327.508,288.069,256.227,284.180,543.630,292.695,281.607,365.220,243.911,264.116,245.552,267.992,376.504,242.994,361.805,292.941,295.200,283.797,242.157,310.770,15.403
595.256,302.656,298.731,324.019,247.792,271.095,293.262,287.182,314.971,411.517,282.143,246.763,306.279,262.429,300.484,284.036,251.866,273.578,490.688,283.124,292.136,415.770,234.326,265.561,253.578,269.389,348.361,243.307,352.970,289.838,275.069,288.120,246.206,306.136,12.915
533.824,271.271,279.830,303.607,248.859,287.361,287.887,284.419,306.924,405.270,272.293,244.896,289.200,256.220,271.918,281.978,253.289,262.106,445.659,276.921,262.529,429.695,242.895,307.945,231.760,234.103,358.105,258.346,336.095,293.850,273.246,286.865,240.240,297.558,11.491
460.372,296.729,311.174,303.345,252.117,280.061,306.821,295.116,290.524,365.635,283.633,238.197,299.932,272.173,290.926,283.269,253.330,262.174,403.167,244.130,278.193,437.140,228.842,320.994,234.558,261.770,327.842,248.765,293.545,302.810,263.923,274.835,238.867,294.088,9.297
445.558,314.978,299.184,303.801,244.403,280.381,300.046,307.303,301.376,363.708,274.762,248.435,294.926,268.717,292.664,280.131,250.948,263.062,400.471,241.130,277.257,408.145,237.416,344.213,230.532,263.484,335.654,245.503,289.655,351.063,275.415,291.857,234.114,295.766,8.923
403.960,299.379,298.590,329.078,253.712,316.673,287.713,291.141,319.148,368.792,284.918,245.375,291.147,269.429,305.459,271.073,222.701,266.379,378.935,228.130,295.021,405.950,233.858,339.226,231.747,241.675,330.594,241.660,270.895,408.119,264.915,283.902,244.830,294.670,9.025
374.925,305.643,310.221,293.723,248.619,342.830,295.390,328.066,297.067,351.573,266.687,252.405,291.595,274.874,304.025,338.327,251.278,265.335,432.080,248.062,294.093,406.750,237.579,334.427,240.396,252.976,323.902,249.096,273.930,412.071,276.692,284.241,239.751,299.958,8.893
350.131,307.166,330.041,315.869,253.011,404.456,319.000,327.283,295.690,394.056,294.605,254.241,313.963,266.435,265.566,386.731,244.031,283.988,402.428,244.452,285.736,363.470,248.495,311.939,243.091,240.016,273.135,245.081,251.205,405.407,252.815,300.805,248.019,300.677,9.188
341.568,296.742,370.114,314.049,256.141,452.279,363.210,420.848,304.900,423.927,300.980,251.237,299.979,266.670,274.098,466.760,243.247,270.988,426.007,257.333,287.257,366.655,233.074,312.311,255.597,250.595,278.624,244.988,279.100,416.854,274.285,294.571,237.722,313.112,11.728
325.513,301.627,433.042,335.218,257.957,524.483,466.421,508.455,314.043,473.674,298.116,247.880,308.542,286.445,262.508,476.593,238.804,273.565,402.000,238.825,269.193,348.440,233.400,297.768,232.409,230.167,274.203,239.446,273.675,388.296,265.477,273.346,240.097,319.383,15.167
337.533,298.742,484.722,299.335,261.384,485.014,484.579,551.621,335.629,526.989,304.272,272.278,309.821,273.487,298.951,523.080,251.206,275.242,411.659,234.011,273.279,376.080,233.663,273.201,252.591,246.365,273.579,247.250,271.885,379.178,273.500,295.955,239.866,328.968,16.501
368.121,286.331,515.403,348.505,275.480,483.218,511.472,610.056,350.219,542.944,322.279,339.438,335.647,293.016,280.762,489.949,265.381,274.845,420.761,246.136,339.714,400.640,230.463,278.189,254.273,280.556,273.211,247.690,282.105,391.348,256.623,332.143,239.333,344.432,17.204
339.990,300.411,477.660,344.728,298.304,433.925,476.503,504.717,355.752,549.427,333.626,433.217,339.000,264.859,281.615,486.451,246.887,270.863,447.572,235.311,372.914,415.415,236.626,283.354,241.649,283.405,261.955,239.855,273.825,372.625,287.431,290.985,239.934,340.024,15.643
337.518,288.924,447.143,333.854,292.747,397.279,414.538,446.318,353.376,555.584,322.748,410.425,335.179,271.639,277.066,457.160,247.928,288.311,478.051,235.689,372.200,445.285,217.000,276.604,234.058,336.429,268.331,249.084,254.475,366.850,338.400,298.707,243.337,336.128,14.418
353.126,301.354,412.145,363.359,288.965,341.639,366.021,395.212,329.424,551.579,336.503,432.980,346.847,276.455,295.393,440.567,234.825,285.758,486.029,245.525,305.914,456.080,237.247,271.518,246.818,365.532,236.143,249.720,288.740,361.751,399.315,310.729,249.225,335.225,13.581
344.025,288.615,379.993,443.913,273.101,285.959,318.949,325.035,333.043,488.949,326.823,389.084,353.489,277.738,284.172,421.811,240.701,281.342,485.471,244.836,339.086,421.415,247.979,263.762,229.110,339.540,231.496,234.395,287.235,332.292,435.646,295.865,241.743,323.837,12.728
374.990,312.847,328.041,531.650,268.952,298.463,300.395,307.909,309.205,464.140,306.020,350.452,336.368,259.293,303.770,433.284,240.969,281.043,560.116,234.119,294.014,395.700,233.942,286.567,245.312,377.484,253.459,250.229,268.275,326.787,453.231,303.286,243.507,325.267,14.284
345.508,311.889,291.420,578.709,257.056,298.755,283.882,283.020,296.043,414.916,269.245,310.809,353.847,256.089,294.230,377.913,256.928,272.919,670.986,240.023,313.964,402.880,239.347,292.354,259.039,381.103,262.820,245.196,264.125,317.617,417.462,288.624,239.355,320.851,16.132
343.342,321.882,282.426,553.534,254.955,300.639,277.374,289.657,303.805,386.472,259.986,264.181,356.447,264.246,288.443,354.182,254.258,267.093,738.341,230.542,282.643,363.920,238.474,299.841,239.019,359.413,235.293,247.548,286.370,317.470,428.700,296.602,241.309,316.012,17.197
357.578,372.411,289.145,559.563,249.768,268.748,281.805,299.788,314.567,352.343,277.211,262.090,350.163,264.356,280.393,348.640,242.392,272.404,741.225,243.412,285.836,354.090,241.237,357.476,250.883,323.183,266.992,246.904,339.055,293.506,440.569,308.872,246.696,320.706,17.145
364.673,368.608,272.580,500.995,244.531,272.612,292.949,282.763,312.486,361.348,281.320,251.378,371.658,272.000,276.008,316.535,243.938,266.621,669.601,248.712,284.471,354.755,242.074,384.726,253.416,329.167,259.534,254.792,388.495,282.233,421.531,300.436,240.428,317.193,15.100
340.874,336.787,285.821,445.058,246.987,287.646,298.590,281.485,319.152,340.416,283.966,253.893,381.953,270.759,270.467,280.880,239.567,296.441,662.558,250.955,277.836,388.550,245.705,355.939,235.065,306.190,254.556,248.723,455.895,293.095,445.585,333.256,243.769,316.922,14.907
358.528,322.532,284.387,397.296,257.723,286.211,296.662,285.379,303.043,325.865,270.646,264.431,389.163,259.754,286.811,281.742,269.309,284.255,565.674,241.576,281.914,367.460,240.411,316.439,249.221,285.968,243.602,241.274,495.775,273.929,374.008,316.895,242.479,307.890,12.422
354.668,306.277,285.895,338.534,241.819,302.020,303.559,284.530,311.490,365.275,281.782,256.819,384.079,270.529,286.082,284.047,254.041,299.242,543.254,257.333,358.757,437.495,238.116,331.165,244.701,257.230,250.504,249.268,520.305,287.700,347.077,292.842,241.512,311.150,12.632
336.246,291.315,286.432,314.602,250.480,276.721,281.318,291.227,310.190,338.146,269.259,258.963,375.363,274.267,298.033,270.538,250.371,310.969,553.884,257.424,361.207,447.295,236.463,300.616,253.156,252.206,232.549,252.307,474.480,273.834,368.208,299.053,243.902,305.789,12.274
342.055,301.277,282.430,315.097,261.744,271.286,286.631,285.066,306.290,324.551,263.061,258.977,344.279,277.717,256.607,278.938,275.031,299.944,449.543,265.362,371.014,452.885,245.932,282.634,270.156,246.397,248.045,243.922,449.660,267.518,328.077,296.579,245.013,299.810,9.874
