0001-0049-0053,0001-0079-0227,0001-0132-0215,0001-0146-0232,0001-0156-0159,0001-0224-0241,0001-0209-0103,0001-0171-0060,0001-0158-0056,0001-0120-0053,0059-0127-0028,0059-0113-0028,0059-0180-0036,0059-0191-0025,0059-0176-0016,0059-0214-0012,0090-0159-0019,Average,Err
407.049,419.920,591.917,542.294,704.055,963.656,361.149,448.439,341.950,797.304,666.632,639.696,560.416,489.428,608.795,361.048,507.136,553.581,39.488
411.510,426.167,542.822,525.786,701.588,974.660,343.403,423.931,338.384,838.570,662.360,634.732,574.940,495.880,588.546,361.275,493.227,549.281,41.125
412.552,427.094,590.528,513.427,689.144,969.304,343.099,426.110,346.667,802.165,671.917,669.893,558.363,458.303,582.189,367.497,498.322,548.622,40.325
419.474,432.342,567.294,477.351,698.838,964.417,345.472,414.335,348.098,881.911,652.899,651.982,559.342,456.788,590.097,365.770,489.487,547.994,42.026
414.682,429.666,595.756,470.698,679.704,945.105,339.211,420.141,346.815,823.475,627.250,653.643,553.192,469.538,575.854,373.571,469.967,540.486,39.518
425.401,431.177,555.011,472.101,658.251,906.769,349.802,424.470,336.605,823.949,662.583,640.527,571.726,453.365,565.935,352.210,503.520,537.259,38.150
422.698,432.283,558.400,498.419,689.306,977.364,343.630,422.655,353.871,794.114,698.412,655.875,562.089,466.183,564.557,356.992,493.359,546.483,40.438
413.798,429.573,592.239,499.435,690.261,931.972,335.558,424.276,358.157,838.867,644.868,628.277,533.345,468.981,575.146,362.798,493.022,542.387,39.237
420.052,431.225,573.156,503.605,695.151,926.061,355.446,421.865,348.473,882.392,663.149,570.062,548.110,478.856,569.222,369.538,495.443,544.224,39.685
418.021,445.610,594.939,524.730,719.835,938.409,359.634,424.821,353.289,863.196,603.965,554.393,557.972,497.538,579.249,372.982,505.136,547.866,38.986
419.908,429.893,582.333,518.524,703.711,987.190,345.224,438.862,353.375,825.089,583.873,521.384,561.498,460.567,596.362,371.444,511.377,541.801,39.950
420.052,433.793,575.817,501.165,684.856,962.514,356.036,420.900,345.961,848.019,553.031,475.384,572.235,463.202,579.589,376.121,505.864,533.796,39.404
422.667,422.079,573.350,534.133,708.739,913.822,349.957,415.013,345.852,817.108,542.583,472.634,534.516,469.481,583.054,360.533,495.897,527.142,37.481
411.851,427.083,583.872,518.560,684.230,954.789,351.848,435.655,345.821,837.861,527.614,514.857,556.050,463.524,555.114,372.169,486.949,531.050,38.746
421.702,422.962,557.550,518.286,689.299,962.279,358.046,426.502,341.717,821.722,508.785,461.241,554.317,484.212,580.697,377.280,509.007,529.153,38.633
423.019,403.302,552.067,555.423,677.814,984.947,358.406,436.997,353.510,844.272,527.316,481.116,565.110,478.476,588.097,374.917,503.403,535.776,39.866
419.514,406.510,574.322,537.238,692.653,992.692,351.779,431.034,334.014,844.620,535.031,487.375,562.534,488.226,567.632,380.780,495.344,535.371,40.669
415.649,417.336,581.522,542.907,687.100,926.899,352.472,422.959,333.826,862.709,533.614,495.134,550.957,483.481,604.432,369.851,500.077,534.172,38.956
335.242,310.998,562.583,427.730,682.821,915.069,327.073,375.564,305.020,781.665,535.768,523.375,484.701,435.514,559.643,323.477,442.238,489.911,40.881
314.284,285.373,562.450,392.948,656.007,879.409,310.574,341.332,278.120,769.816,552.175,495.321,434.025,405.885,514.092,309.588,377.971,463.492,41.258
294.954,278.745,545.939,390.206,653.351,888.939,302.505,319.661,277.311,793.354,517.566,452.214,391.246,407.476,476.416,312.232,338.945,449.474,42.762
283.024,278.360,573.911,367.944,645.543,884.134,292.901,300.467,276.252,730.437,502.491,399.982,347.712,382.361,459.622,311.750,309.139,432.119,42.251
273.132,277.523,555.528,345.742,629.172,835.279,280.769,298.903,267.076,704.715,507.338,353.384,326.815,389.346,443.454,295.598,303.835,416.918,40.392
276.999,273.894,547.961,351.484,624.096,839.518,278.356,290.881,264.235,688.519,448.434,386.598,308.427,357.154,439.335,297.285,304.337,410.442,39.861
272.813,277.227,508.956,343.403,626.003,773.405,274.696,289.809,265.263,626.766,432.232,366.080,311.153,351.163,396.908,293.912,292.740,394.267,35.729
271.224,269.834,508.556,329.702,594.031,782.773,278.000,282.947,268.756,632.500,422.965,374.652,310.399,340.529,405.649,281.091,288.722,390.725,35.883
268.478,270.495,531.739,323.863,589.419,744.826,277.244,286.411,264.375,581.785,432.171,370.875,292.544,345.418,395.076,282.816,290.044,385.152,33.788
269.643,272.343,518.594,317.202,573.096,716.830,279.442,282.006,260.826,542.696,435.009,381.143,299.904,339.106,393.308,283.333,292.916,379.847,31.473
267.774,270.691,505.128,320.593,531.615,670.211,274.330,274.931,264.311,516.373,447.623,378.152,295.381,327.188,363.503,280.919,289.747,369.322,28.573
271.790,270.902,480.078,308.065,516.694,675.587,275.201,285.367,259.277,500.057,433.070,376.750,294.434,315.865,354.389,282.609,280.370,363.559,27.810
268.667,273.587,477.056,300.585,501.299,615.834,274.218,284.150,263.731,501.114,437.399,370.973,300.865,317.832,345.519,279.005,289.740,358.916,25.220
269.834,271.093,488.300,300.968,475.591,587.486,268.871,282.163,264.655,473.671,431.285,377.661,292.238,316.389,349.584,276.677,287.751,353.778,23.600
272.493,271.795,455.444,301.302,462.876,589.611,272.264,279.890,262.017,465.335,441.781,382.571,293.484,300.841,340.454,274.561,287.158,350.228,22.979
269.969,273.481,460.183,302.645,449.213,556.883,266.967,279.931,264.011,455.139,440.465,380.652,289.872,302.298,340.849,272.745,286.674,346.587,21.566
272.919,272.575,466.628,301.032,433.973,541.247,269.290,281.552,262.266,466.044,435.368,385.241,288.619,310.976,340.654,272.232,287.341,346.350,21.011
268.613,273.869,440.406,290.407,401.041,543.729,269.657,284.078,266.739,419.342,417.877,377.991,290.907,306.332,340.686,271.664,294.744,338.711,19.036
271.024,273.328,448.100,300.718,394.942,550.745,270.116,284.508,262.210,417.494,438.882,383.196,293.210,307.837,333.578,273.101,289.535,340.737,19.669
272.433,273.679,440.711,290.359,394.103,511.887,267.469,285.959,263.938,422.513,434.864,366.277,287.751,299.212,345.746,275.336,289.344,336.564,18.176
269.847,272.716,418.711,287.202,367.375,498.429,268.954,278.743,268.204,400.171,427.171,378.054,290.879,304.856,331.373,274.159,284.700,330.679,16.694
