0001-0049-0053,0001-0079-0227,0001-0132-0215,0001-0146-0232,0001-0156-0159,0001-0224-0241,0001-0209-0103,0001-0171-0060,0001-0158-0056,0001-0120-0053,0059-0127-0028,0059-0113-0028,0059-0180-0036,0059-0191-0025,0059-0176-0016,0059-0214-0012,0090-0159-0019,Average,Err
345.081,381.020,370.678,329.528,321.268,470.777,423.904,520.160,364.611,448.354,595.838,416.509,329.601,281.769,270.184,241.677,301.158,377.183,21.963
348.453,374.184,358.961,320.565,281.237,407.583,400.135,453.166,327.434,463.804,598.254,400.580,321.719,283.894,282.303,238.033,296.626,362.172,20.630
329.003,366.564,330.700,317.915,286.959,382.972,411.861,433.166,281.647,442.146,542.276,370.866,318.623,296.668,307.330,232.942,297.978,349.977,17.701
359.085,364.489,295.761,302.411,275.127,368.211,398.650,358.796,257.961,433.329,538.877,330.616,310.473,360.486,328.324,236.210,308.842,342.803,16.767
344.634,375.026,307.544,305.222,291.443,353.769,377.640,318.912,269.246,444.089,496.487,315.821,335.043,428.577,467.357,243.641,289.967,350.848,16.917
348.145,369.160,300.817,291.520,286.017,327.421,357.855,331.527,281.860,430.956,467.329,332.295,313.808,428.183,457.708,287.419,292.974,347.352,14.714
329.787,376.377,301.594,322.024,269.467,322.757,361.436,314.580,261.661,387.532,443.202,301.902,319.459,417.154,483.270,298.758,297.751,341.689,14.462
316.841,364.081,309.489,313.306,280.756,324.202,330.914,311.075,262.852,372.918,416.175,298.562,308.278,422.577,443.503,301.126,304.128,334.164,12.162
312.744,364.455,297.783,285.399,285.014,306.105,322.208,304.552,269.852,370.994,389.075,326.375,308.715,401.697,443.454,297.657,289.912,327.999,11.416
329.373,352.455,294.367,292.024,281.632,329.785,310.888,295.226,261.168,389.101,377.232,284.938,307.537,413.423,419.735,296.066,300.982,325.643,11.286
329.384,350.220,301.083,298.210,282.175,325.964,303.340,298.013,255.345,359.253,363.930,293.250,288.178,371.663,396.914,289.843,289.681,317.438,9.064
327.077,366.020,289.861,297.355,284.488,313.024,287.835,281.984,268.627,321.538,343.496,281.321,308.676,360.144,419.114,270.783,285.714,312.180,9.520
333.579,371.721,307.017,292.581,286.495,329.526,298.205,312.107,258.997,274.639,351.272,311.223,315.605,353.582,405.395,271.313,284.619,315.169,9.118
312.120,362.156,323.983,288.157,288.316,324.842,293.644,290.323,252.485,278.791,371.096,311.348,299.986,346.779,401.038,279.475,289.487,312.590,9.063
314.277,363.022,281.117,295.202,279.643,326.020,304.733,300.897,265.230,274.639,378.645,323.884,293.747,349.317,371.632,254.126,290.784,309.818,8.810
317.592,362.012,308.356,279.935,281.323,334.607,300.125,299.085,248.437,262.000,351.237,303.857,292.491,346.375,363.843,257.568,272.037,304.758,8.605
305.593,360.701,296.628,289.202,283.890,319.883,302.601,295.790,268.471,262.886,349.439,311.339,284.577,298.923,337.903,239.717,283.154,299.453,7.218
