0383-0244-0015,0383-0239-0038,0383-0187-0150,0383-0224-0175,0383-0193-0180,0383-0186-0197,0383-0021-0204,0383-0241-0187,Average,Err
278.073,299.924,306.697,473.323,303.231,382.781,450.391,283.215,347.204,25.770
268.982,293.692,325.946,457.441,303.840,396.450,438.389,277.644,345.298,24.691
270.677,285.911,314.469,464.805,335.013,390.856,464.546,277.320,350.450,26.557
280.513,286.371,324.430,460.768,328.582,382.575,455.758,265.694,348.086,25.490
269.878,311.868,328.338,457.386,314.191,376.587,455.346,274.489,348.510,24.573
279.378,289.579,315.877,430.741,315.276,378.637,435.334,284.085,341.113,21.412
268.721,301.742,324.664,453.482,303.951,374.731,454.341,267.532,343.645,25.119
276.948,313.712,324.034,508.155,324.311,385.887,446.606,287.148,358.350,27.103
267.307,301.215,328.232,462.386,309.009,385.356,454.997,276.665,348.146,25.504
271.768,291.404,327.338,462.214,315.707,396.562,448.230,291.768,350.624,24.698
283.966,303.172,327.766,467.718,306.707,395.825,456.658,291.472,354.161,24.857
286.609,299.169,319.508,451.168,321.996,379.550,451.407,272.690,347.762,23.600
269.935,295.371,326.585,476.405,328.760,402.569,446.112,283.158,353.612,25.841
266.068,296.311,330.348,470.841,318.027,392.012,443.875,286.338,350.477,25.176
271.104,281.722,321.626,455.950,317.498,393.581,455.411,269.500,345.799,26.018
263.380,305.679,326.548,447.327,307.729,381.131,436.756,282.035,343.823,23.078
274.617,295.103,330.406,484.018,323.338,365.025,446.917,279.697,349.890,25.713
269.807,303.464,326.207,440.145,323.471,415.325,441.467,282.250,350.267,23.457
275.997,298.921,325.636,461.555,309.120,382.344,452.442,279.739,348.219,24.763
263.586,296.440,327.146,456.536,311.293,394.387,440.399,270.299,345.011,25.001
273.193,303.768,320.649,459.382,319.218,381.000,455.726,286.993,349.991,24.341
268.904,298.291,328.030,459.359,325.058,383.113,457.556,286.887,350.900,24.672
263.888,277.970,331.467,433.427,324.049,377.488,445.472,270.187,340.494,23.749
263.003,288.368,329.688,452.745,321.933,371.150,441.634,282.218,343.842,23.802
276.898,289.391,322.994,473.400,312.173,363.456,452.018,274.035,345.546,25.801
