0001-0119-0076,0001-0101-0071,0001-0118-0022,0001-0104-0200,0001-0086-0168,0001-0200-0024,0001-0172-0181,0001-0250-0193,0001-0184-0241,0001-0145-0212,Average,Err
432.611,387.598,378.946,413.317,407.433,418.396,606.954,274.530,1173.188,599.217,509.219,76.094
422.698,376.484,363.228,416.208,395.282,412.826,576.687,263.847,1264.445,591.382,508.309,84.806
439.483,374.787,346.185,429.430,394.459,419.146,581.866,264.326,1281.985,601.741,513.341,86.485
409.266,386.380,362.919,424.609,395.485,402.684,576.338,279.754,1225.853,566.273,502.956,80.716
420.345,437.859,345.550,411.693,395.756,397.878,576.486,286.699,1232.144,581.019,508.543,81.017
445.130,515.016,381.040,426.865,388.041,409.528,577.996,292.695,1176.626,587.128,520.007,74.426
1783.512,644.694,379.228,928.874,395.392,849.389,811.222,810.479,1776.298,721.552,910.064,147.974
2118.918,1362.705,1722.651,1746.715,1687.227,2043.837,2686.250,914.119,3088.132,2784.557,2015.511,202.690
2150.693,1492.441,1785.940,1792.427,1861.337,2021.872,2731.264,981.352,3059.374,2894.719,2077.142,195.566
2193.382,1553.742,1793.064,1832.792,1865.916,2013.160,2687.919,967.169,3088.648,2922.465,2091.826,195.377
2058.490,1554.678,1680.060,1823.823,1856.927,1957.476,2554.317,972.805,3283.555,2908.482,2065.061,203.724
2057.626,1557.606,1634.648,1812.763,1850.919,1905.615,2481.430,917.169,3350.320,2895.930,2046.403,209.941
2030.831,1537.263,1572.128,1764.174,1824.924,1879.115,2566.162,927.021,3402.098,2911.585,2041.530,217.956
1900.266,1486.516,1538.745,1725.286,1852.840,1792.125,2454.944,907.805,3313.858,2901.961,1987.435,213.653
1967.589,1535.255,1568.376,1730.654,1920.081,1808.208,2453.972,875.453,3378.083,2919.485,2015.716,217.528
1846.652,1463.178,1508.302,1678.629,1832.218,1699.306,2412.891,814.360,3261.230,2926.109,1944.287,218.377
1783.698,1344.266,1441.419,1590.446,1711.038,1704.208,2348.754,787.729,3235.469,2805.017,1875.204,217.657
1719.751,1296.396,1409.060,1590.026,1646.067,1604.486,2345.701,772.089,3167.939,2765.415,1831.693,216.022
1665.623,1297.205,1368.161,1572.581,1629.785,1550.562,2317.021,752.216,3172.540,2739.201,1806.490,217.508
1591.676,1255.551,1286.691,1544.221,1623.823,1548.250,2246.651,750.695,3127.289,2541.922,1751.677,208.626
1597.505,1218.266,1292.255,1564.958,1580.895,1496.701,2240.056,715.436,3106.090,2608.089,1742.025,212.783
1584.872,1156.452,1280.940,1584.779,1539.666,1457.653,2201.831,737.534,3048.636,2667.384,1725.975,212.323
1509.034,1135.045,1211.456,1549.935,1499.209,1413.944,2143.799,712.564,3017.780,2472.922,1666.569,205.761
1541.896,1154.399,1209.926,1545.548,1566.076,1465.903,2160.310,736.055,3037.325,2557.989,1697.543,207.967
1462.152,1098.556,1182.362,1513.625,1483.936,1413.788,2201.824,696.746,3053.946,2526.816,1663.375,214.740
1423.027,1114.737,1222.651,1525.555,1499.099,1384.059,2179.975,697.610,3073.660,2557.265,1667.764,215.971
1392.287,1076.447,1201.966,1545.545,1476.797,1384.753,2204.056,707.381,3063.565,2527.574,1658.037,216.114
1325.355,1089.715,1186.661,1557.190,1527.765,1367.205,2216.370,665.386,2990.711,2561.802,1648.816,215.793
1329.370,1064.537,1148.205,1491.417,1511.549,1366.635,2156.933,691.936,2953.425,2509.618,1622.363,210.406
1306.063,1062.947,1191.534,1522.487,1477.983,1363.934,2228.183,671.771,3024.068,2506.830,1635.580,217.075
1309.855,1039.684,1170.644,1525.240,1522.826,1356.882,2187.173,654.949,3028.034,2466.206,1626.149,216.189
1212.319,1028.319,1143.611,1501.997,1476.956,1283.358,2201.278,652.581,2929.951,2411.415,1584.178,211.996
1214.585,955.154,1134.245,1482.022,1456.439,1279.861,2081.908,672.483,2845.697,2414.632,1553.703,205.056
1206.343,1013.013,1141.037,1518.467,1499.785,1309.618,2214.239,638.809,2952.958,2412.262,1590.653,214.517
1234.075,1011.098,1143.104,1471.044,1482.718,1334.191,2149.366,645.169,2958.487,2283.655,1571.291,207.572
1219.326,1017.636,1110.443,1462.544,1492.820,1299.361,2210.761,634.903,2932.565,2237.616,1561.797,207.765
1221.879,995.481,1146.658,1502.676,1489.506,1246.281,2180.285,631.737,2893.567,2176.699,1548.477,202.839
1193.002,984.505,1096.695,1430.073,1453.279,1266.285,2117.806,644.733,2892.941,2020.117,1509.944,197.669
1291.109,1009.761,1138.017,1489.039,1468.538,1271.038,2180.574,609.992,2955.861,2060.487,1547.441,203.347
1303.394,961.785,1123.218,1454.679,1451.299,1238.438,2164.141,609.343,2937.826,1941.468,1518.559,200.905
1378.684,993.894,1113.960,1475.009,1458.267,1254.208,2159.662,555.364,2964.939,1801.334,1515.532,201.112
1411.886,968.130,1110.836,1462.830,1468.916,1192.635,2021.271,562.025,2810.780,1716.741,1472.605,185.689
1441.031,890.165,1057.208,1370.923,1418.622,1177.653,2092.951,522.644,2782.247,1633.123,1438.657,190.518
1506.534,922.918,1082.574,1377.714,1363.881,1131.024,2004.211,519.475,2725.203,1529.092,1416.262,182.331
1489.060,883.585,1038.195,1304.593,1320.291,1138.448,1972.458,505.153,2665.196,1461.025,1377.800,179.370
1594.488,942.601,1074.513,1367.884,1339.977,1174.219,2074.197,498.394,2701.156,1504.889,1427.232,183.647
1590.609,979.460,1099.003,1335.185,1333.517,1145.726,2029.887,487.004,2711.027,1633.741,1434.516,183.545
1501.266,970.649,1068.658,1308.812,1369.198,1132.802,2045.651,493.174,2659.521,1691.894,1424.162,181.384
1410.082,869.920,1030.419,1230.910,1336.663,1110.802,2025.775,500.199,2653.264,1741.802,1390.984,184.982
1267.548,878.471,1023.832,1168.456,1298.087,1073.368,1977.958,484.602,2609.733,1855.318,1363.737,185.239
1050.121,813.069,994.040,1057.775,1256.517,1032.802,1902.000,492.898,2492.010,2058.925,1315.016,187.977
813.872,847.622,1065.349,989.359,1248.291,1023.795,1930.070,506.928,2489.592,2522.340,1343.722,214.186
640.143,788.630,987.000,940.529,1191.157,974.878,1924.363,482.254,2462.149,2931.045,1332.215,246.996
606.225,792.088,998.705,911.179,1136.323,930.361,1844.842,497.119,2497.132,2963.175,1317.715,250.645
605.461,773.176,992.815,853.140,1045.657,833.017,1836.109,443.140,2390.531,2785.362,1255.841,239.466
589.969,724.024,965.832,810.567,910.032,750.993,1664.352,472.907,2358.345,2536.627,1178.365,222.684
588.444,680.356,958.520,831.142,877.218,661.677,1613.176,455.818,2274.601,2424.223,1136.518,213.778
548.384,644.511,998.091,849.115,807.331,607.264,1472.852,399.831,2312.394,2144.624,1078.440,202.467
548.336,581.779,917.272,866.488,744.977,574.319,1336.937,371.903,2309.663,1719.237,997.091,184.127
564.179,532.338,926.634,900.281,727.049,564.226,1252.539,382.589,2338.577,1384.265,957.268,174.772
569.553,540.872,900.309,983.110,736.887,541.451,1198.165,347.936,2416.729,1227.432,946.244,178.331
547.304,534.574,894.876,1023.013,704.555,520.372,1176.468,353.530,2401.171,1169.900,932.576,177.376
562.372,529.455,905.866,1179.846,734.695,535.080,1103.331,365.644,2500.873,1134.092,955.125,184.505
571.420,513.362,852.255,1416.782,703.488,521.465,1051.004,378.318,2461.369,1127.822,959.728,185.950
547.925,527.904,879.148,1612.360,686.770,517.295,1030.218,427.941,2497.616,1140.223,986.740,193.310
557.440,502.455,883.111,1726.183,705.561,537.090,983.637,519.199,2593.516,1181.552,1018.974,202.126
578.080,494.176,851.087,1678.853,713.570,506.719,999.831,610.106,2610.267,1246.922,1028.961,200.993
581.092,510.487,824.893,1575.621,719.343,473.962,985.708,676.915,2627.523,1204.281,1017.982,198.104
566.800,498.465,758.732,1342.968,726.567,499.743,1003.461,710.903,2750.491,1278.412,1013.654,204.047
576.872,497.295,764.148,1129.637,736.326,532.597,910.627,672.314,2743.303,1331.465,989.458,201.380
529.184,503.936,706.151,899.102,778.125,513.806,898.630,678.386,2731.516,1305.440,954.427,200.855
522.703,487.452,647.718,742.882,824.227,515.958,881.835,654.466,2747.692,1403.657,942.859,206.494
521.039,474.202,587.443,666.487,980.532,476.083,877.472,633.788,2719.831,1439.058,937.594,207.917
538.785,484.136,509.624,679.634,1349.698,483.788,877.630,585.242,2689.621,1535.641,973.380,212.893
530.510,504.585,489.839,710.132,1843.061,462.615,848.986,553.576,2676.521,1728.518,1034.834,231.541
519.268,491.000,456.718,683.887,1922.398,445.365,831.447,519.148,2572.489,2135.429,1057.715,245.600
507.430,480.827,453.144,701.660,1906.895,468.438,871.585,515.487,2592.711,2597.387,1109.556,268.791
531.058,472.072,436.738,742.709,1809.142,475.861,880.634,515.822,2469.839,2889.538,1122.341,276.429
491.389,456.771,439.148,750.878,1655.762,461.403,822.063,485.826,2464.846,2863.206,1089.129,273.577
509.234,466.561,437.366,754.725,1518.622,483.865,854.444,461.644,2409.430,2757.384,1065.328,260.398
518.582,461.199,428.487,727.186,1388.372,473.312,803.123,419.356,2198.814,2515.877,993.431,233.707
515.225,436.269,417.883,772.247,1267.285,487.104,803.585,399.932,2212.760,2320.708,963.300,220.868
496.853,441.112,422.299,792.260,1227.547,459.764,796.479,372.047,2084.188,2031.855,912.440,197.112
510.833,436.705,439.661,802.452,1045.416,483.056,828.940,357.364,2078.504,1699.407,868.234,176.064
489.662,415.625,413.567,767.746,837.544,448.115,810.951,378.089,1967.513,1279.699,780.851,151.239
490.705,422.269,444.101,788.948,754.916,459.826,800.535,352.280,1875.875,1064.150,745.360,137.141
489.401,420.726,410.534,816.344,717.549,453.931,814.915,364.919,1853.178,1018.448,735.995,135.066
506.036,418.013,415.930,803.801,648.852,474.753,849.313,357.271,1786.760,1007.694,726.842,129.238
489.925,434.085,421.221,814.029,657.541,464.924,845.137,355.979,1735.010,998.992,721.684,124.819
508.058,411.527,430.275,816.977,648.465,472.181,838.570,368.856,1698.284,1063.033,725.623,122.952
490.399,418.364,439.701,819.190,635.206,487.319,844.877,351.992,1655.154,1046.549,718.875,119.398
491.906,422.973,437.121,901.378,655.901,482.396,886.732,366.894,1662.215,1095.170,740.269,122.091
483.155,437.221,436.446,958.203,646.698,466.135,874.053,365.004,1650.445,1114.340,743.170,122.827
477.746,423.811,422.638,1130.958,629.064,471.413,897.454,361.102,1560.029,1104.396,747.861,121.644
500.930,428.117,436.023,1404.467,625.916,471.073,888.232,390.975,1529.553,1147.337,782.262,129.959
499.729,433.316,433.983,1671.535,641.485,464.885,881.113,369.199,1481.738,1217.777,809.476,144.436
497.986,425.527,426.232,1813.863,611.262,482.469,909.028,374.288,1519.467,1266.844,832.696,156.637
482.181,426.372,399.540,1787.427,617.776,458.840,902.475,384.716,1455.797,1290.111,820.524,154.098
477.338,439.755,421.772,1662.102,612.640,451.594,935.556,395.941,1519.501,1318.674,823.487,149.649
480.227,420.723,434.195,1423.484,620.230,471.573,965.563,392.504,1535.949,1370.251,811.470,140.278
488.483,424.681,437.725,1110.798,602.047,487.094,879.577,412.966,1593.768,1603.468,804.061,142.634
471.645,416.941,430.446,828.994,608.625,464.181,815.993,609.220,1616.301,1991.192,825.354,162.999
500.053,414.093,429.399,713.650,602.023,472.115,796.292,800.708,1749.049,2579.028,905.641,211.765
485.080,441.963,430.211,680.438,629.799,453.788,801.007,813.928,1825.274,2885.220,944.671,239.112
473.435,427.186,416.879,694.547,609.015,468.556,729.433,790.208,1896.142,2839.045,934.444,239.446
499.036,410.809,457.527,712.195,609.041,446.812,799.296,756.835,1994.191,2738.535,942.428,234.761
