0001-0072-0197,0001-0135-0221,0001-0053-0078,0001-0069-0141,0001-0031-0146,0075-0005-0120,0075-0012-0134,0075-0018-0124,0075-0037-0127,0075-0055-0177,0001-0051-0194,0001-0094-0126,0001-0106-0097,0001-0136-0090,0001-0184-0111,0001-0217-0119,0133-0146-0150,0133-0139-0138,0133-0125-0164,0133-0176-0164,0133-0189-0158,0073-0183-0212,0073-0177-0183,0073-0159-0166,0073-0187-0053,0047-0177-0061,0047-0162-0053,0047-0176-0031,0040-0152-0093,0330-0248-0118,0350-0238-0158,0375-0211-0040,0336-0240-0021,Average,Err
1606.382,953.739,873.016,699.587,1389.755,1526.864,1416.097,1507.354,1987.790,872.702,496.122,938.732,602.242,878.330,676.762,821.524,731.299,829.124,910.449,564.294,621.993,580.520,372.479,365.220,436.734,557.238,468.075,467.389,567.475,378.142,335.423,409.865,1035.508,814.492,71.833
1568.814,985.713,928.457,748.811,1382.709,1527.537,1379.810,1509.258,1994.067,682.657,458.932,931.910,614.453,890.393,661.418,845.204,746.351,844.354,874.609,578.322,585.757,556.405,371.353,375.360,422.312,510.849,479.895,464.262,511.625,397.170,350.485,433.120,1073.640,808.667,71.804
1630.136,965.131,999.634,778.544,1420.211,1658.354,1408.482,1587.965,1977.076,580.067,459.184,941.980,596.816,912.110,707.230,818.665,756.660,823.714,833.870,556.644,535.157,560.020,370.847,381.494,442.877,483.778,488.880,477.880,411.315,408.411,347.746,421.805,1079.885,812.805,75.485
1606.869,986.876,1038.403,785.850,1381.683,1558.687,1477.523,1638.758,2039.195,554.180,400.599,978.441,578.337,920.675,714.549,814.462,757.124,822.652,691.319,548.746,536.479,578.195,368.858,413.488,449.500,505.024,463.805,477.786,371.025,395.368,365.677,451.023,1040.042,809.430,76.355
1479.819,931.385,1103.845,768.345,1400.800,1661.007,1499.528,1671.934,1987.633,508.843,409.912,984.067,592.595,904.173,712.779,816.109,760.402,823.509,493.022,539.271,529.836,583.225,372.147,437.902,421.409,522.683,444.113,478.633,340.080,409.964,360.185,427.263,1054.029,800.923,77.120
1324.794,896.207,1162.805,793.563,1404.323,1594.163,1545.687,1660.152,2032.952,516.421,406.347,973.706,596.221,888.304,695.131,823.735,778.649,797.025,434.391,535.678,516.107,579.305,376.537,485.622,456.981,514.825,462.970,479.133,336.060,400.921,361.677,461.248,1055.360,798.394,76.230
1041.291,881.076,1202.887,765.767,1400.440,1672.320,1575.215,1671.394,2008.833,520.247,430.116,1008.057,580.421,914.597,694.836,833.967,706.258,837.547,393.036,501.153,529.371,615.665,366.026,483.110,471.981,498.214,432.414,480.127,329.190,424.684,403.115,421.639,1078.355,793.132,76.299
898.935,907.551,1222.234,768.587,1392.963,1659.694,1569.467,1698.455,1946.886,533.994,452.837,1008.645,588.405,914.524,645.467,829.436,775.670,846.559,414.659,489.090,538.671,592.935,367.474,506.713,457.169,502.810,396.970,478.395,328.835,417.609,394.038,452.549,1066.363,789.836,75.140
796.281,913.554,1241.745,767.175,1389.659,1646.238,1530.785,1695.146,1948.762,584.545,454.136,983.960,595.032,876.686,660.041,829.451,756.825,812.783,394.587,470.254,543.600,586.630,372.237,527.171,456.714,476.270,324.699,479.120,333.980,426.850,389.477,446.346,1035.978,780.204,74.746
779.558,959.401,1302.965,776.359,1423.040,1707.776,1642.082,1709.859,1969.805,635.843,485.088,1049.050,631.516,921.749,651.115,843.018,744.062,816.180,443.203,454.831,552.843,627.415,358.705,512.335,471.182,515.302,291.398,481.268,334.155,434.186,390.538,471.744,1056.539,801.337,77.329
783.176,968.943,1307.385,777.495,1420.272,1732.993,1607.405,1790.045,1971.110,701.910,509.122,1033.528,593.205,873.393,644.566,828.044,724.907,803.205,471.862,474.486,609.114,578.275,373.032,567.055,468.968,498.373,290.992,466.000,335.410,436.431,409.215,462.737,1037.621,804.554,77.557
