0001-0109-0118,0001-0097-0091,0001-0073-0114,0001-0045-0079,0001-0117-0047,0001-0125-0028,0001-0125-0009,0001-0048-0145,0001-0096-0205,Average,Err
615.473,344.194,371.692,316.572,785.174,288.646,270.977,691.236,624.701,478.741,62.284
636.919,358.372,375.218,313.317,780.272,297.787,274.325,681.785,636.888,483.876,61.768
631.165,398.012,389.508,315.827,776.592,297.063,275.763,722.083,658.843,496.095,62.472
629.593,405.677,403.180,315.841,819.984,328.847,290.836,686.257,671.754,505.774,61.695
620.576,415.903,399.310,317.836,776.310,325.988,289.966,698.694,654.366,499.883,58.688
616.072,429.238,387.025,323.468,798.391,346.604,294.610,690.507,636.858,502.530,57.962
595.670,442.027,407.292,323.255,750.609,359.009,310.418,663.062,676.321,503.074,53.121
537.962,449.189,409.357,331.003,793.462,370.096,324.766,737.069,654.090,511.888,55.907
500.455,462.184,392.207,331.338,787.924,367.850,318.867,713.326,632.306,500.717,54.169
429.130,465.913,390.449,328.638,790.609,373.231,323.497,672.000,645.873,491.038,53.214
373.780,469.077,398.458,334.311,784.326,398.066,323.144,699.639,644.694,491.722,54.130
371.366,470.375,394.818,328.378,777.402,385.922,336.427,735.681,655.821,495.132,56.029
385.625,473.988,392.584,328.287,777.717,405.556,336.186,677.160,659.731,492.982,52.601
385.856,462.045,355.827,324.901,761.011,401.571,333.537,682.576,677.060,487.154,53.822
427.917,444.042,342.892,321.809,785.788,389.345,349.472,682.806,665.619,489.966,54.578
464.923,444.491,309.330,317.773,754.571,405.952,346.763,731.743,689.142,496.076,56.694
500.471,419.285,306.240,313.684,765.495,424.829,342.209,696.278,681.045,494.393,55.647
520.915,416.571,303.955,311.477,760.201,397.688,343.712,758.347,662.769,497.293,58.494
564.616,368.938,317.917,303.784,803.451,411.850,340.791,726.806,681.418,502.174,61.113
568.802,354.608,309.998,302.315,778.174,398.928,321.136,732.757,681.060,494.197,61.594
578.085,337.174,322.872,305.998,767.505,423.138,301.387,727.694,689.851,494.856,61.482
593.789,332.524,332.173,306.425,782.353,404.321,279.257,745.639,638.649,490.570,62.741
613.070,361.615,338.373,311.670,734.848,406.793,273.356,705.514,681.007,491.805,59.122
614.861,374.454,353.351,321.729,750.696,383.700,265.579,750.090,656.328,496.754,60.904
606.162,390.337,362.088,326.654,792.946,363.429,275.319,716.375,660.948,499.362,60.861
627.353,402.308,382.247,332.979,759.245,324.210,267.828,736.528,709.619,504.702,62.778
623.637,405.831,391.254,341.364,783.043,292.138,268.105,726.556,686.194,502.014,63.265
610.357,432.385,395.344,347.595,749.484,293.568,276.627,724.069,670.209,499.960,59.303
612.654,427.970,393.816,346.492,775.016,289.856,290.059,698.681,712.530,505.230,60.958
615.546,455.350,411.751,353.158,758.946,280.231,290.494,717.111,643.560,502.905,57.907
565.475,449.898,418.926,349.850,791.337,296.078,305.757,686.667,647.567,501.284,56.296
548.467,456.640,407.461,348.364,771.995,317.664,311.008,695.382,686.418,504.822,55.716
519.477,450.841,410.625,343.048,788.690,329.991,317.006,697.007,695.396,505.787,56.420
473.281,469.002,410.809,329.998,793.342,342.339,319.246,703.792,694.761,504.063,56.811
417.358,468.203,388.515,316.407,780.255,349.024,334.463,710.632,684.485,494.371,56.746
394.606,488.596,369.175,304.302,768.598,360.096,338.311,718.111,703.149,493.883,58.057
