0190-0041,0179-0010,0059-0145,0001-0200-0106,0109-0122,0137-0169,0205-0007,0245-0190,0237-0213,0243-0240,0219-0241,0186-0239,0052-0008,0023-0120,Average,Err
703.153,380.057,435.757,419.184,383.883,451.411,362.306,333.129,451.848,401.723,408.425,346.847,374.505,336.649,413.491,23.738
715.210,379.019,446.162,369.652,416.693,469.010,316.007,328.098,454.792,391.931,400.812,338.748,378.349,340.234,410.337,25.702
747.688,378.393,440.499,432.176,394.749,470.981,347.485,328.216,445.669,404.826,435.226,340.485,391.645,350.545,422.042,26.689
803.668,397.359,444.711,439.365,402.190,460.019,341.194,343.655,459.017,401.218,400.591,356.616,383.876,340.448,426.709,29.960
887.736,480.011,431.944,416.619,402.416,426.301,364.328,327.739,465.152,400.935,426.215,338.008,366.941,343.044,434.099,35.686
967.222,504.660,450.665,405.115,410.489,443.746,340.030,330.000,454.056,409.225,449.532,344.720,371.935,345.797,444.799,41.030
1124.915,477.458,441.391,395.246,383.446,441.718,335.149,329.618,470.921,404.061,421.704,338.293,393.366,348.274,450.397,51.552
1202.878,447.740,444.626,423.959,395.693,436.364,355.470,335.302,454.062,403.937,426.753,352.853,387.720,335.490,457.346,56.294
1177.895,413.996,450.869,425.480,393.390,441.091,364.306,332.420,452.067,391.150,426.462,336.217,377.355,340.849,451.682,54.879
1153.267,408.309,431.703,419.963,400.048,448.172,330.373,332.172,443.809,406.097,422.742,336.746,372.355,350.029,446.842,53.437
1059.045,394.305,442.056,427.213,403.848,454.541,352.030,342.037,439.685,404.063,417.312,347.666,365.532,340.186,442.109,46.845
999.554,357.546,441.052,432.049,402.532,449.445,356.791,340.236,466.730,386.986,441.317,331.231,381.731,341.711,437.779,43.253
937.284,382.878,448.571,428.291,383.970,459.555,346.261,332.928,461.169,394.156,429.124,344.211,398.059,346.953,435.243,38.893
922.830,388.790,443.104,430.496,392.606,439.589,346.172,319.807,449.539,409.153,440.177,340.073,418.699,344.861,434.707,37.896
848.284,383.504,441.600,434.602,383.848,442.459,330.418,330.885,461.320,402.024,423.188,341.094,391.753,338.435,425.244,33.392
780.386,363.038,443.799,425.705,382.182,441.244,342.127,322.724,426.067,398.470,420.882,345.259,375.828,342.953,415.047,28.993
