0234-0127,0127-0162,0168-0167,0157-0158,0144-0148,0141-0228,0129-0220,0117-0222,0142-0188,0226-0056,0202-0085,0214-0074,0191-0097,0186-0111,0211-0119,0243-0095,0185-0069,0202-0062,0209-0035,0176-0038,0166-0030,0184-0005,0116-0071,0170-0075,0162-0060,0231-0251,0237-0196,0208-0190,0211-0150,0111-0097,0101-0107,0063-0052,0086-0095,0078-0077,0100-0022,0117-0026,0095-0198,0059-0192,0058-0160,0019-0175,0033-0156,0033-0118,0011-0082,0187-0141,0161-0120,Average,Err
348.097,725.202,311.383,321.659,330.517,332.817,385.570,327.428,358.654,342.260,332.417,295.438,329.345,340.662,832.527,467.872,331.140,297.918,283.641,324.823,302.364,256.958,335.312,352.057,335.317,241.908,293.567,353.093,350.730,352.098,505.696,278.158,335.794,285.267,286.889,683.645,328.980,327.273,294.142,296.083,260.545,297.994,313.249,326.695,408.936,356.047,17.228
351.463,716.421,310.802,337.390,317.442,347.072,400.310,291.529,352.616,333.333,341.141,319.115,333.860,372.132,898.790,497.171,331.574,298.005,288.669,328.345,284.836,262.297,330.727,358.772,329.413,249.035,296.142,323.573,340.725,335.811,497.922,285.848,333.618,286.011,309.492,636.512,329.986,321.158,322.026,304.773,252.236,272.706,294.357,339.068,374.953,356.426,17.746
433.750,669.553,330.150,338.689,337.041,349.662,409.150,286.848,387.346,343.401,329.513,329.531,310.211,350.132,938.382,456.578,339.125,282.066,281.606,315.268,304.349,267.927,375.893,353.707,346.760,257.676,296.146,345.247,331.816,358.016,504.070,279.398,317.941,285.352,364.040,584.651,331.438,331.115,299.865,328.128,267.162,283.583,290.449,338.780,351.744,360.294,17.409
641.664,731.693,313.943,328.012,324.395,328.148,380.410,301.536,797.786,330.620,342.628,314.231,313.035,382.874,835.624,424.995,365.949,308.577,297.155,331.118,293.492,258.867,380.218,358.862,320.335,263.021,284.975,329.360,344.487,329.197,462.913,268.827,333.490,279.227,721.381,645.541,325.025,330.863,268.774,423.345,247.010,299.405,319.541,332.794,348.003,381.408,21.626
906.960,651.018,309.132,351.927,327.204,351.579,388.250,318.246,969.755,355.510,332.045,329.715,315.012,359.735,872.957,405.730,351.044,298.954,307.556,327.045,299.923,259.133,364.993,320.561,334.455,252.655,284.254,313.607,349.924,351.492,436.852,282.555,327.784,271.392,647.365,598.866,316.595,316.481,282.974,465.049,276.424,309.325,359.422,340.383,357.445,389.984,24.594
953.531,667.193,308.264,323.805,337.823,346.741,358.760,293.848,1124.818,350.468,337.608,318.938,303.041,347.470,787.194,384.161,337.471,279.321,317.711,305.791,302.903,272.436,331.754,370.707,319.814,257.106,287.517,348.133,329.674,322.156,453.104,279.946,354.020,274.426,568.254,615.337,322.666,324.823,303.232,513.763,265.770,332.380,342.104,332.293,347.093,390.119,26.326
935.241,654.816,307.700,320.793,322.694,319.831,360.440,314.841,1056.132,358.705,340.271,307.985,323.175,368.894,741.280,399.284,307.610,339.776,315.204,337.059,312.113,260.691,324.358,521.512,396.263,257.423,316.258,328.180,331.356,395.549,416.626,282.236,346.618,300.653,443.016,599.669,332.623,328.179,310.703,461.351,257.445,352.239,325.498,339.792,356.948,391.756,24.178
851.231,649.605,355.374,344.122,307.116,338.231,384.630,292.333,1034.220,354.612,382.583,355.469,338.895,372.252,691.758,325.919,346.066,321.617,299.592,316.173,354.010,266.867,330.202,917.634,353.084,235.563,287.821,348.060,337.336,416.443,423.661,275.282,334.451,298.722,397.762,562.180,332.185,346.867,329.968,384.237,294.843,355.147,316.426,328.450,371.820,396.907,24.941
801.051,637.000,716.780,342.348,331.864,362.414,386.780,301.899,1106.327,352.884,343.603,333.677,336.906,359.868,658.581,345.180,379.051,326.888,282.754,341.150,342.903,253.145,332.737,1009.512,405.096,269.331,303.204,347.733,335.336,410.623,401.652,286.686,358.490,305.500,383.317,579.953,334.746,355.765,333.103,334.090,294.906,381.957,323.705,365.099,361.227,410.152,26.893
760.961,646.386,888.502,391.384,328.177,347.714,385.020,312.558,1065.836,326.361,352.111,350.708,335.023,350.265,670.527,320.033,354.059,303.923,278.394,324.823,351.733,263.479,335.273,995.000,380.491,259.549,303.575,309.913,347.477,412.311,379.313,286.390,361.480,312.227,370.325,514.337,347.643,342.217,325.742,312.948,269.749,373.080,326.811,483.051,350.991,409.064,27.406
