0190-0041,0179-0010,0059-0145,0001-0200-0106,0109-0122,0137-0169,0205-0007,0245-0190,0237-0213,0243-0240,0219-0241,0186-0239,0052-0008,0023-0120,Average,Err
360.216,858.439,670.317,392.004,685.775,637.201,498.007,680.922,1068.281,782.360,910.758,675.695,585.866,874.075,691.423,51.077
402.554,882.317,675.528,395.553,668.502,631.096,493.716,682.856,1134.343,787.148,872.672,693.548,548.296,899.412,697.682,53.088
423.591,889.489,677.417,392.250,630.303,646.206,462.642,667.836,1094.961,801.957,896.500,681.765,563.070,887.061,693.932,52.060
436.159,879.538,672.456,379.066,632.714,624.014,453.649,647.282,1111.292,765.295,888.285,673.556,543.753,896.062,685.937,52.926
466.832,878.832,652.531,403.939,639.866,656.220,470.746,644.968,1092.826,783.457,849.392,680.686,538.597,882.978,688.705,49.440
492.312,867.866,661.245,396.230,643.394,618.292,477.224,636.779,1069.978,758.591,885.231,669.282,528.263,866.734,683.673,48.326
515.088,871.416,668.582,391.541,653.749,638.804,488.567,655.353,1080.427,802.512,867.016,664.014,547.382,893.532,695.570,48.297
555.227,884.622,661.227,408.426,650.255,636.967,453.179,642.859,1094.944,785.046,876.640,685.647,543.495,872.188,696.480,48.487
573.077,886.832,666.680,390.197,669.567,631.933,455.396,655.371,1088.753,773.628,907.140,696.932,556.027,883.889,702.530,48.938
634.014,868.286,656.199,385.590,670.701,627.699,476.530,643.480,1041.208,783.300,907.172,670.957,520.323,895.320,698.627,46.850
620.142,901.389,675.450,400.955,649.152,652.665,471.731,681.486,1125.242,788.193,897.898,686.009,541.677,878.087,712.148,49.328
626.065,863.805,672.217,389.180,628.078,658.249,476.448,642.305,1110.034,786.146,867.505,678.475,541.909,876.005,701.173,47.912
643.287,882.286,662.393,395.045,643.649,658.569,455.903,656.710,1100.601,784.036,906.409,697.305,545.538,895.969,709.121,48.889
667.696,865.313,671.304,394.811,646.268,659.900,469.321,643.632,1134.871,777.024,848.570,678.435,541.839,896.135,706.794,48.637
648.435,878.053,662.742,384.910,662.931,650.670,502.328,645.894,1114.107,792.666,907.731,678.166,548.898,894.292,712.273,48.604
648.290,859.240,660.706,381.787,674.658,638.368,490.515,664.517,1096.747,779.020,910.543,689.399,523.349,890.207,707.668,48.185
673.986,906.710,676.932,399.561,668.355,654.517,471.925,638.213,1145.916,791.771,878.220,688.450,570.919,886.630,718.008,49.447
645.537,897.767,679.061,386.107,628.671,667.612,465.843,629.945,1061.140,789.219,902.505,687.991,548.747,895.763,706.136,47.763
660.241,901.191,661.939,408.389,649.775,659.813,512.075,647.977,1105.539,765.401,886.634,686.533,540.344,897.865,713.123,47.202
624.511,846.760,672.566,403.693,659.403,645.641,506.052,655.494,1091.601,772.745,895.871,682.107,553.527,908.833,708.486,46.367
553.043,899.607,676.189,381.533,669.307,640.325,481.216,657.302,1097.348,782.154,884.183,684.594,521.919,883.477,700.871,49.579
455.884,895.508,667.476,373.664,670.853,633.938,484.179,657.428,1100.146,795.272,877.430,685.266,519.376,866.091,691.608,51.463
406.722,901.218,668.106,398.246,657.628,640.053,469.776,632.983,1093.275,786.488,905.478,685.180,545.473,901.431,692.290,52.957
363.273,878.615,666.970,400.393,642.377,649.297,460.455,667.730,1062.517,774.579,886.946,681.902,522.220,903.895,682.941,52.577
350.599,858.351,671.541,391.266,658.359,655.852,454.246,669.164,1070.966,766.366,885.957,671.680,525.677,890.976,680.072,52.829
346.188,862.523,657.121,378.975,651.506,650.431,477.321,649.273,1139.618,777.133,885.145,678.512,540.215,865.269,682.802,55.149
353.403,878.882,660.816,393.316,643.844,651.445,484.701,659.902,1108.697,773.354,887.280,688.729,543.263,892.061,687.121,53.830
356.625,880.443,669.244,392.594,666.056,648.751,470.664,633.313,1110.073,772.844,839.640,674.347,545.081,889.264,682.067,53.245
375.429,866.504,672.234,402.861,654.009,630.230,456.612,664.741,1070.051,792.818,847.194,665.460,549.059,889.301,681.179,51.093
387.750,877.576,667.553,378.090,660.610,647.646,460.172,654.807,1062.107,776.001,857.726,684.534,559.091,877.780,682.246,50.841
401.557,888.508,669.791,385.143,644.745,625.273,464.418,669.583,1092.472,768.901,879.731,691.738,565.538,881.285,687.763,51.987
432.193,864.714,667.197,391.463,646.203,666.612,485.313,642.216,1114.455,802.833,865.022,668.779,535.231,899.439,691.548,51.757
470.395,874.939,674.616,399.549,650.238,653.301,473.679,640.911,1129.219,776.517,925.000,698.382,545.656,890.659,700.219,52.221
501.057,878.378,659.456,411.848,655.550,653.952,473.813,675.750,1089.635,783.780,893.634,706.002,562.618,901.533,703.358,48.844
524.946,876.779,676.906,388.398,667.433,639.373,465.709,675.733,1123.483,788.880,874.941,694.771,538.710,883.528,701.399,50.370
556.702,841.607,666.189,383.492,657.238,665.928,474.970,655.414,1137.511,782.537,909.091,664.828,541.543,890.730,701.984,50.616
563.284,844.817,664.469,383.963,625.883,674.483,465.172,649.943,1057.972,768.706,855.694,669.337,549.059,901.265,691.003,46.555
591.940,869.256,660.850,389.205,660.056,672.545,466.530,656.218,1122.292,772.447,908.882,680.466,534.500,878.150,704.524,49.675
621.060,885.950,672.207,383.799,652.974,651.952,481.821,658.966,1084.764,767.269,881.543,669.387,550.306,894.378,704.027,47.477
609.557,871.920,659.041,388.262,630.840,653.794,499.933,643.647,1099.702,767.633,820.978,672.774,541.016,881.567,695.762,46.534
599.872,894.248,662.403,403.193,673.987,645.450,478.731,658.773,1113.837,780.033,901.941,682.827,563.398,895.842,711.038,48.741
627.315,876.458,673.769,397.340,672.286,651.081,481.903,672.856,1120.579,784.321,882.559,676.807,565.145,892.990,712.529,47.983
647.690,877.435,676.425,403.537,672.810,662.211,478.358,662.279,1111.489,777.731,861.833,679.659,556.258,885.161,710.920,46.873
633.216,910.576,669.587,392.824,635.719,663.230,452.731,639.322,1106.039,785.535,873.403,682.847,534.554,886.186,704.698,49.418
595.080,878.817,674.107,400.410,660.684,668.096,487.634,667.460,1099.112,782.761,896.414,683.967,546.231,900.201,710.070,47.884
574.662,887.603,673.527,408.635,666.143,648.761,472.007,684.601,1147.826,789.934,909.392,695.006,550.452,897.216,714.697,50.670
482.827,865.118,671.457,377.115,667.610,648.191,476.858,679.003,1133.264,790.523,879.677,689.802,555.758,895.864,700.933,51.553
418.662,874.637,672.145,391.668,641.831,646.713,482.254,680.080,1090.949,808.033,909.118,692.450,532.828,881.149,694.466,51.910
375.892,866.630,674.566,390.541,666.870,646.373,467.507,673.652,1106.961,772.552,880.527,692.421,550.731,910.711,691.138,53.311
355.858,864.111,672.498,399.975,642.333,653.665,485.567,642.078,1068.112,769.452,879.167,688.666,557.812,890.475,683.555,51.320
358.023,863.534,667.165,393.434,639.688,651.670,497.694,662.043,1105.022,774.017,864.989,687.830,553.199,888.374,686.192,52.409
355.043,868.099,673.335,387.971,686.069,671.952,480.022,656.264,1062.073,777.738,876.694,676.257,559.978,882.044,686.681,51.299
346.304,838.095,672.699,389.201,657.329,648.612,464.261,652.224,1105.949,787.785,872.608,686.884,542.661,894.509,682.795,53.678
354.128,881.244,670.887,397.885,652.645,662.067,447.478,664.359,1067.303,795.831,908.070,685.834,548.306,909.297,688.953,53.738
355.261,893.790,668.123,384.246,619.931,677.866,492.493,662.365,1087.584,793.968,840.516,682.365,557.398,881.369,685.520,52.387
378.966,862.324,666.453,408.619,630.190,623.402,500.701,652.931,1124.719,786.163,903.720,679.567,531.016,882.496,687.948,53.341
402.247,887.809,673.861,388.111,654.775,657.785,486.381,655.322,1101.826,788.939,906.301,671.410,554.602,904.634,695.286,52.915
