0204-0044,0252-0006,0133-0061,0115-0072,0184-0024,0238-0072,0225-0077,0230-0067,0208-0072,0200-0063,0195-0102,0189-0091,0153-0095,0164-0072,0122-0057,0173-0115,0222-0208,0238-0208,0223-0182,0214-0176,0207-0166,0200-0179,0193-0154,0239-0137,0194-0119,0204-0126,0212-0129,0249-0107,0245-0182,0228-0114,0229-0105,0218-0095,0118-0157,0172-0180,0238-0250,0077-0105,0077-0063,0081-0053,0086-0028,0053-0050,0129-0145,0120-0132,0108-0117,0090-0123,0075-0144,0048-0153,0050-0132,0027-0123,0015-0101,0018-0076,0013-0133,0048-0211,0007-0249,0017-0243,0048-0199,0078-0177,0073-0193,0109-0225,0126-0223,0148-0237,0161-0238,0141-0193,0162-0169,0170-0163,0192-0201,0187-0207,0196-0216,Average,Err
323.356,454.087,697.270,400.207,298.211,326.708,392.689,459.901,368.031,423.227,338.730,386.333,363.327,347.438,473.467,467.866,335.973,318.368,434.706,463.817,387.563,388.000,382.293,425.036,307.259,303.530,371.968,298.173,477.703,304.143,281.277,308.012,425.590,469.240,774.685,325.092,350.490,327.130,337.640,439.512,342.930,477.837,339.609,384.836,475.052,366.316,460.578,439.263,414.627,403.488,442.865,397.101,411.226,431.237,494.864,431.822,383.005,445.823,401.295,310.189,372.696,429.810,432.567,366.308,424.391,409.091,315.540,399.439,9.961
321.217,490.762,746.953,414.647,306.992,446.684,340.716,452.535,338.480,405.091,312.378,375.740,349.000,326.301,479.667,436.320,335.455,337.491,425.983,434.646,378.944,351.496,378.439,431.117,306.444,326.556,370.581,279.767,482.459,325.865,296.000,364.284,448.085,450.972,1193.935,321.188,368.265,339.420,328.175,423.473,358.422,454.244,355.000,351.569,404.571,371.026,692.782,482.313,459.294,397.457,424.634,385.087,401.702,430.718,402.364,455.135,396.880,479.676,457.241,365.326,314.676,454.859,455.000,361.763,408.768,459.636,332.372,411.269,15.191
305.970,497.550,766.455,426.034,310.813,528.550,331.297,400.155,328.055,354.443,338.743,400.365,326.242,325.507,499.100,462.009,351.733,344.859,429.950,430.927,427.324,374.950,368.642,439.649,289.722,308.145,384.086,319.033,500.135,325.587,309.723,367.099,446.769,453.810,1529.427,320.338,394.215,321.319,342.540,436.330,365.665,462.058,361.043,384.983,463.896,369.086,939.184,502.637,457.571,381.399,414.725,419.841,354.893,407.565,423.606,426.178,418.918,467.555,412.366,311.779,343.745,505.141,409.719,346.994,415.203,410.836,301.314,422.321,20.610
303.230,446.725,741.757,361.741,310.951,530.357,354.419,376.408,338.173,330.318,349.824,381.562,334.896,287.493,588.850,444.596,345.876,320.130,448.420,428.915,384.169,350.380,362.333,435.631,282.380,316.812,352.323,312.707,453.177,341.294,309.177,337.222,441.696,430.754,1955.952,317.962,363.040,366.087,323.790,444.488,364.335,511.523,368.848,356.922,407.701,361.414,940.194,430.726,442.611,393.385,436.021,409.783,391.405,370.664,398.258,431.573,410.109,461.932,404.902,322.600,357.176,539.674,425.550,350.853,393.993,412.873,311.504,422.575,26.089
308.356,452.825,721.628,364.776,273.496,436.327,344.216,360.620,357.598,399.795,320.000,405.969,337.659,348.603,499.350,459.672,344.315,320.877,407.765,391.037,384.451,390.174,376.057,426.360,293.324,331.085,422.602,297.980,442.703,482.397,289.554,331.753,409.728,454.587,1969.161,312.232,373.245,355.130,335.420,405.478,376.768,468.919,365.750,374.319,485.247,382.493,856.563,441.464,446.810,402.986,415.216,419.116,359.250,386.313,410.182,442.816,431.044,472.572,383.143,334.916,362.539,506.429,425.883,363.635,401.551,436.255,336.912,424.289,25.558
317.807,477.875,707.957,374.716,295.341,407.398,305.919,391.155,383.638,400.750,340.878,412.635,344.204,279.836,449.667,456.706,362.976,334.653,429.723,413.634,382.718,414.140,378.220,444.523,281.611,336.897,422.914,315.987,471.628,749.595,314.777,342.543,435.357,471.330,1933.403,320.726,376.615,358.246,331.365,416.571,365.081,481.663,360.924,396.328,502.922,372.395,632.631,379.341,414.349,405.278,424.771,446.754,394.190,377.137,451.227,454.886,398.049,457.521,396.607,349.189,341.461,472.978,432.205,360.686,395.022,373.218,318.234,425.995,24.813
315.052,492.637,646.826,375.931,295.976,345.123,323.703,382.803,403.976,482.648,359.351,386.531,342.460,337.151,457.867,451.578,360.706,332.538,447.244,441.439,404.183,414.545,380.732,431.505,285.935,306.316,377.355,323.033,455.880,820.944,336.292,347.259,438.822,435.531,1678.871,312.414,362.100,348.812,338.340,419.921,370.524,505.965,346.696,397.629,567.260,381.618,506.733,352.162,439.008,411.588,426.296,422.971,360.417,365.145,465.727,453.676,406.279,465.797,388.670,334.326,341.333,457.261,448.076,365.923,393.268,441.509,327.153,423.035,21.426
316.649,443.100,617.083,357.457,284.341,306.135,341.568,391.282,342.827,373.920,335.108,387.292,336.687,327.178,475.083,433.965,346.727,320.029,412.824,407.573,364.563,383.331,371.545,416.198,271.176,337.410,375.258,320.620,452.301,679.579,297.823,342.074,403.073,461.536,1622.492,338.783,369.945,344.101,357.310,438.453,364.114,464.884,394.315,379.621,675.338,369.322,413.286,335.659,454.286,399.141,422.312,362.913,334.643,389.420,457.773,432.011,378.650,467.366,376.339,324.747,313.235,468.141,464.743,358.231,411.493,453.800,329.474,410.443,20.475
310.785,487.100,610.103,393.983,308.797,296.830,328.392,336.465,323.882,364.580,362.162,341.104,317.251,354.822,394.400,439.602,359.294,337.848,432.370,380.232,419.183,422.430,420.089,439.432,306.111,329.709,363.613,329.293,568.883,577.087,298.923,373.765,400.206,434.190,1505.823,305.557,345.550,357.623,330.755,419.946,381.400,526.500,390.533,360.741,615.545,380.079,411.481,348.531,434.183,388.419,405.927,390.594,390.798,333.550,445.485,434.141,383.213,471.575,401.161,358.495,354.363,425.908,439.953,382.494,396.906,460.527,342.759,410.200,18.536
315.383,505.250,622.043,368.776,291.244,274.175,318.189,368.141,314.102,349.500,390.581,359.500,345.502,308.863,445.717,430.203,339.430,335.141,432.613,403.402,408.408,360.008,372.496,402.613,306.843,331.393,375.849,320.873,648.534,419.627,316.000,340.383,396.627,429.022,1226.855,326.255,330.750,382.203,328.345,444.862,363.903,511.779,352.957,375.328,509.623,397.612,382.985,331.285,445.667,397.144,423.190,368.681,365.821,372.099,416.621,424.714,383.842,430.425,395.518,384.421,310.510,450.587,386.573,348.526,374.928,447.509,336.825,398.131,14.911
