0001-0150-0218,0001-0081-0091,0001-0173-0157,0001-0145-0133,0001-0153-0130,0002-0119-0167,0002-0192-0036,Average,Err
677.134,732.587,375.475,401.125,349.843,397.650,461.891,485.101,54.150
690.737,750.493,378.075,373.450,326.876,387.825,493.386,485.835,59.109
686.941,754.130,371.150,384.738,323.382,388.381,512.416,488.734,59.305
682.723,719.935,365.913,391.450,327.169,379.000,495.366,480.222,55.937
685.634,743.906,376.700,399.587,343.573,402.244,461.277,487.560,56.002
687.147,768.072,394.481,380.663,323.674,367.875,400.673,474.655,61.641
679.100,699.123,370.075,387.812,334.360,406.456,422.257,471.312,53.004
673.416,773.696,379.444,399.075,358.000,395.469,457.554,490.951,57.503
679.790,715.761,390.688,367.500,306.382,372.756,451.743,469.231,56.742
685.987,750.442,372.856,377.000,347.022,393.988,481.624,486.988,57.570
681.491,757.725,401.356,381.462,335.393,367.356,487.881,487.524,58.360
689.752,783.261,381.100,388.275,338.191,389.119,486.842,493.791,60.818
678.771,739.746,382.331,395.363,305.730,400.119,493.673,485.105,57.221
700.475,723.841,380.631,375.062,330.899,400.762,500.812,487.497,56.695
682.926,725.486,382.850,376.712,328.865,389.012,495.743,483.085,55.852
695.860,768.659,371.531,408.025,330.326,373.381,442.693,484.354,60.927
679.652,741.072,378.087,391.137,322.315,381.669,444.980,476.988,57.499
684.015,737.819,377.425,395.113,335.562,401.150,446.752,482.548,56.054
685.750,694.355,380.681,440.725,320.798,390.038,431.446,477.685,52.576
682.186,742.616,359.081,378.212,322.652,391.094,462.752,476.942,58.506
685.514,726.768,374.281,399.625,316.236,391.250,488.218,483.127,56.327
685.612,732.225,381.169,367.650,323.315,366.363,461.149,473.926,58.177
678.336,752.630,379.944,421.663,327.899,386.925,472.109,488.501,56.862
683.736,748.659,386.325,415.275,330.944,392.869,484.178,491.712,56.337
683.073,767.029,383.038,400.075,340.876,389.488,447.871,487.350,58.487
684.707,762.790,387.144,387.038,350.258,405.413,469.871,492.460,57.241
683.882,752.507,382.875,367.175,327.775,393.619,447.931,479.395,58.841
679.099,724.457,390.075,398.312,325.011,397.100,439.040,479.013,54.721
691.133,712.007,370.413,386.475,353.303,393.669,482.069,484.153,53.937
689.253,750.116,396.587,401.675,334.865,377.150,445.139,484.969,57.592
698.060,715.196,396.806,389.500,335.921,401.300,433.139,481.417,54.793
679.072,754.007,370.012,388.137,338.067,402.875,432.198,480.624,57.786
683.442,754.304,369.450,391.288,337.169,384.756,476.960,485.338,58.205
691.601,732.536,381.969,413.837,331.303,407.762,482.752,491.680,55.129
687.672,704.522,373.581,392.863,330.618,402.850,461.713,479.117,53.653
