0001-0034-0030,0045-0032,0079-0024,0074-0012,0123-0006,0118-0058,0115-0004,0106-0004,0110-0014,0094-0021,0085-0008,0064-0017,0025-0043,0020-0051,0013-0037,0010-0021,0102-0042,0110-0045,0104-0061,0092-0074,0096-0089,0122-0035,0090-0066,0090-0121,0080-0105,0070-0109,0079-0082,0071-0077,0061-0088,0054-0096,0044-0077,0062-0075,0054-0072,0043-0088,0026-0066,0046-0122,0038-0111,0026-0095,0023-0103,0019-0088,0006-0069,0010-0081,0010-0098,0026-0111,0017-0113,0005-0119,0003-0107,0009-0122,Average,Err
1302.155,1218.422,2192.223,1097.048,751.894,1005.949,597.564,525.604,890.179,966.209,648.775,446.359,525.697,488.785,514.000,464.952,464.011,554.160,488.700,922.622,787.333,463.889,510.886,431.440,560.967,434.300,466.917,467.493,614.333,519.133,485.500,501.457,679.569,498.151,622.763,603.740,352.276,382.130,512.290,655.635,449.868,525.115,514.381,588.162,607.594,2362.586,584.324,784.533,688.168,56.674
1193.914,1203.487,2109.884,1067.638,733.053,1064.703,543.345,603.377,842.036,982.861,598.188,416.423,524.213,513.246,466.703,468.095,450.915,483.940,501.750,910.027,810.167,410.778,469.455,446.350,568.233,436.812,483.319,452.406,536.493,527.283,470.625,545.571,664.931,470.925,618.350,579.577,338.552,443.304,500.986,634.969,466.143,558.519,506.624,557.412,578.679,2345.914,591.351,676.267,674.329,55.272
1252.414,1215.096,2094.074,1087.619,716.011,1019.068,594.564,544.208,827.286,1012.339,669.763,421.908,521.730,510.200,442.500,454.619,455.475,554.100,528.525,915.446,751.358,432.988,524.000,431.700,510.333,456.312,465.069,460.754,570.246,523.483,479.429,550.771,697.707,488.745,603.000,579.740,372.879,439.609,468.870,657.729,463.626,548.750,521.729,567.868,595.491,2429.800,591.459,709.533,681.873,56.189
1239.362,1162.032,2176.967,1057.981,696.606,1044.822,624.236,586.623,834.000,1010.226,646.175,430.204,509.135,488.600,428.531,479.810,447.452,552.940,485.825,981.189,747.008,434.691,553.045,427.000,584.467,474.450,447.833,462.667,567.754,513.367,468.232,529.257,702.793,498.066,660.169,561.333,331.759,446.826,508.536,604.010,456.011,534.558,469.812,521.838,596.028,2353.457,496.297,810.267,680.089,56.293
1165.931,1174.289,2183.091,1102.190,770.372,1071.246,549.073,556.000,922.500,929.043,645.475,430.754,532.809,489.277,443.938,451.444,461.723,515.980,472.900,926.405,784.558,421.358,505.091,430.200,574.183,459.800,439.153,477.913,569.333,526.533,493.464,558.171,673.483,516.736,621.144,595.667,355.931,390.899,515.290,678.135,461.341,499.385,465.011,589.956,604.292,2378.100,589.541,753.044,681.712,56.463
1281.569,1188.540,2079.934,1116.419,746.128,1051.627,604.836,594.113,889.875,960.826,650.950,444.387,539.843,480.508,457.203,414.365,456.350,486.780,509.025,968.311,768.725,431.420,511.159,443.485,539.917,445.788,458.014,475.348,524.159,545.867,518.839,526.800,678.586,505.198,620.750,609.480,416.328,447.130,528.391,662.750,480.769,529.471,490.923,602.647,647.330,2367.871,502.973,833.978,688.243,55.466
1216.845,1190.246,2144.835,1087.295,789.372,1049.500,558.509,565.434,917.732,1018.470,620.362,426.549,499.921,511.800,432.234,417.016,440.486,509.100,498.550,1042.284,777.017,428.728,523.909,438.455,490.767,451.188,478.236,430.841,554.855,557.433,478.125,513.357,686.172,463.274,609.825,609.854,344.207,472.884,520.681,658.271,470.516,513.990,499.928,598.985,568.896,2363.014,520.459,745.289,681.369,56.620
1156.483,1170.048,2161.174,1085.067,707.032,1049.864,607.455,539.528,876.554,967.574,652.400,408.056,534.146,499.769,451.422,460.159,449.864,563.520,488.125,946.932,770.592,430.778,506.795,422.030,530.433,473.363,466.708,512.507,615.130,535.167,490.821,523.757,685.414,494.538,635.744,587.715,355.741,434.768,487.536,672.010,470.088,524.077,482.713,590.765,584.925,2231.757,586.568,719.689,679.110,53.899
1203.448,1199.134,2095.174,1094.638,752.511,1013.186,644.073,605.849,833.071,986.904,653.788,415.873,524.247,493.538,460.016,461.905,446.237,539.520,513.475,927.703,762.583,411.284,553.023,447.455,544.450,441.288,452.028,502.246,559.348,522.333,461.054,506.714,665.397,489.755,655.294,587.333,388.224,431.333,520.623,675.865,461.648,537.433,499.950,578.544,582.934,2381.729,597.162,715.178,683.260,55.178
1227.310,1179.043,2149.091,1083.248,743.638,1028.653,568.400,562.925,894.286,1004.122,659.900,430.275,524.989,533.338,448.578,472.460,433.119,506.960,498.400,883.527,771.942,434.889,541.386,442.210,493.550,475.275,463.431,490.261,548.609,496.717,531.214,498.457,690.845,479.000,618.288,582.911,366.483,456.493,505.754,641.521,447.758,497.058,486.597,538.000,591.500,2376.614,518.054,817.000,679.877,56.143
