0001-0061-0035,0001-0091-0099,0001-0049-0095,0001-0065-0081,0001-0067-0105,0001-0061-0107,Average,Err
296.818,569.328,864.937,769.754,1719.192,1759.015,996.507,226.352
293.754,550.255,823.740,689.641,1638.899,1652.015,941.384,213.512
288.300,505.097,774.764,730.874,1567.788,1566.162,905.497,201.656
285.236,489.040,741.953,636.611,1628.687,1572.632,892.360,212.410
282.110,474.340,746.378,642.269,1474.101,1505.015,854.036,192.639
276.679,460.595,760.307,576.575,1416.788,1420.471,818.569,182.870
278.078,442.709,713.094,557.323,1313.657,1347.853,775.452,168.891
276.037,440.291,716.016,586.575,1321.566,1266.074,767.760,161.551
276.677,410.202,673.071,552.653,1260.636,1175.603,724.807,151.147
277.577,428.466,674.307,502.820,1108.990,1192.235,697.399,139.567
274.060,417.445,630.425,502.293,1205.949,1184.985,702.526,148.731
272.798,407.486,652.843,482.383,1099.364,1008.706,653.930,124.689
276.095,369.498,616.913,492.359,1086.848,1096.956,656.445,132.789
273.601,385.530,618.622,464.401,1091.929,977.412,635.249,123.406
274.283,393.065,607.079,474.587,1002.212,1031.706,630.489,118.704
274.253,374.397,580.701,461.952,963.636,989.559,607.416,113.051
272.169,375.700,580.047,449.802,1022.364,1020.809,620.149,121.767
276.119,371.862,611.394,436.970,908.869,911.941,586.192,102.092
276.118,365.988,571.787,476.054,909.970,1012.294,602.035,110.788
270.778,381.182,559.094,448.006,912.111,884.971,576.024,99.473
278.624,369.725,568.433,439.850,875.030,862.971,565.772,94.387
273.734,380.713,580.220,461.760,906.071,861.368,577.311,96.168
275.071,375.579,521.165,442.569,881.081,904.309,566.629,98.865
275.096,363.559,544.228,432.958,856.152,845.103,552.849,92.019
274.441,362.636,580.370,438.042,886.172,858.132,566.632,95.858
275.812,346.421,526.315,428.719,904.424,802.838,547.421,94.487
273.466,383.947,541.953,435.754,923.848,817.103,562.679,95.351
273.812,368.648,507.748,433.473,857.556,816.897,543.022,89.763
