0050-0038,0075-0050,0075-0065,0038-0040,0036-0084,Average,Err
751.062,1520.278,1936.612,1038.857,1896.901,1428.742,209.451
750.685,1434.063,1918.625,1038.338,1770.574,1382.457,195.788
743.096,1395.422,1894.292,1059.404,1860.574,1390.557,200.355
708.758,1446.372,1886.677,1042.610,1796.728,1376.229,199.912
728.713,1492.036,1867.505,983.666,1808.512,1376.086,201.496
695.157,1495.951,1830.885,1000.098,1736.802,1351.779,195.285
727.017,1440.260,1853.497,980.753,1751.963,1350.698,194.698
718.140,1352.798,1840.852,965.652,1754.463,1326.381,194.804
665.146,1376.188,1822.729,960.279,1722.920,1309.452,197.577
687.803,1381.341,1878.320,1012.533,1737.204,1339.440,198.178
671.107,1300.731,1782.776,1018.498,1648.278,1284.278,181.976
692.876,1320.659,1910.911,1067.404,1690.414,1336.453,194.126
694.438,1276.296,1879.367,1025.105,1647.432,1304.528,189.643
678.090,1272.471,1808.161,997.516,1570.420,1265.332,179.374
665.174,1278.583,1822.562,1061.324,1589.858,1283.500,180.683
693.809,1279.628,1813.865,970.686,1609.765,1273.551,182.521
639.753,1243.368,1827.049,995.470,1575.809,1256.290,187.208
654.090,1180.471,1805.268,1015.934,1602.185,1251.590,184.073
610.843,1206.274,1802.760,988.502,1554.160,1232.508,187.120
654.461,1225.704,1847.852,1020.491,1668.710,1283.443,193.399
633.169,1164.493,1785.846,970.638,1598.741,1230.577,186.837
660.489,1154.803,1929.378,989.387,1628.772,1272.565,202.680
679.433,1090.045,1830.286,1040.882,1622.167,1252.562,186.555
660.051,1115.767,1826.049,1013.098,1589.531,1240.899,186.428
650.719,1150.444,1822.219,1002.338,1634.191,1251.982,190.305
615.921,1122.399,1846.768,958.965,1701.395,1249.090,206.196
637.489,1082.112,1831.326,974.387,1727.302,1250.523,204.458
635.315,1105.614,1835.909,983.167,1652.599,1242.521,197.482
629.163,1096.668,1876.258,988.585,1696.753,1257.485,206.765
614.309,1079.139,1836.117,1004.641,1693.883,1245.618,203.368
610.978,1111.377,1836.729,952.686,1720.185,1246.391,207.964
635.107,1090.619,1797.638,970.160,1725.290,1243.763,200.741
646.646,1167.843,1812.930,1007.686,1683.593,1263.740,193.230
584.551,1055.054,1782.768,987.153,1566.556,1195.216,191.725
