0045-0077,0046-0094,0055-0100,0051-0053,0061-0037,0031-0058,0046-0041,0063-0061,0050-0021,Average,Err
285.383,326.221,263.846,418.338,336.862,313.156,312.687,269.023,261.434,309.661,15.521
276.691,317.026,277.920,430.219,331.771,308.704,320.840,272.033,261.283,310.721,16.118
283.181,317.945,266.747,437.444,334.024,310.642,328.687,280.804,255.311,312.754,17.068
277.020,322.736,282.111,417.901,327.114,319.030,326.368,278.308,251.519,311.345,15.203
286.161,311.400,266.488,430.583,325.014,305.675,330.632,274.682,257.245,309.764,16.369
280.872,313.013,274.000,410.046,318.448,305.844,305.975,280.724,255.066,304.888,14.014
271.752,312.991,271.599,419.901,327.500,310.366,319.558,283.640,256.689,308.222,15.288
278.268,315.702,275.432,415.252,330.724,304.202,322.018,279.234,253.434,308.252,14.923
284.423,310.213,272.852,414.252,328.233,300.105,318.006,273.280,258.566,306.659,14.610
274.745,323.864,264.352,453.152,318.471,309.355,318.086,273.252,261.000,310.697,18.558
275.309,326.030,268.679,430.993,319.210,313.503,320.129,269.850,262.189,309.543,16.444
279.101,308.494,282.586,424.947,319.500,312.032,318.270,273.972,256.028,308.326,15.424
281.107,323.094,272.969,469.404,332.129,313.914,322.282,284.304,254.934,317.126,19.776
268.859,319.417,270.444,443.026,326.971,319.043,323.350,275.874,256.962,311.550,17.759
274.148,312.298,272.821,424.748,324.376,312.941,313.902,279.369,261.887,308.499,15.437
276.470,318.174,282.549,453.530,336.933,322.108,333.264,283.939,259.915,318.542,18.084
268.980,306.617,276.846,436.715,326.552,314.866,326.362,290.565,264.274,312.420,16.417
283.040,322.247,275.481,452.589,326.005,318.398,321.190,285.701,263.613,316.474,17.644
270.336,311.260,268.809,460.748,326.881,321.554,323.577,283.603,254.245,313.446,19.340
277.221,313.736,276.025,479.762,324.562,320.586,341.344,292.341,257.481,320.340,20.631
276.456,320.668,276.475,487.172,325.552,322.556,318.264,287.734,251.500,318.486,21.514
278.349,303.047,267.173,478.748,338.214,320.516,341.687,283.636,258.849,318.913,21.043
275.779,312.672,267.889,508.199,315.157,327.097,339.546,291.294,263.925,322.395,23.443
276.483,314.953,268.420,522.781,321.200,330.331,338.325,285.607,260.774,324.319,25.010
283.154,328.804,273.475,535.066,319.476,330.056,327.865,288.164,248.745,326.090,26.240
277.188,317.532,275.722,541.291,323.129,332.909,331.693,295.607,254.962,327.782,26.612
275.859,310.745,270.802,564.272,307.933,328.078,346.675,295.313,252.717,328.044,29.313
274.181,316.387,275.809,577.152,327.610,334.804,332.387,301.187,252.462,332.442,30.255
272.013,310.426,272.012,607.954,320.433,328.242,356.460,296.402,257.226,335.685,33.572
279.094,316.885,270.228,630.947,338.810,329.266,341.172,301.318,255.377,340.344,35.579
268.329,320.102,273.704,669.550,324.324,339.495,335.092,295.804,255.896,342.477,39.717
270.785,320.940,275.654,655.132,311.290,334.465,367.773,308.360,263.123,345.280,37.988
