0001-0104-0059,0001-0088-0076,0001-0046-0063,0001-0043-0048,0003-0018-0088,Average,Err
219.141,1406.750,1852.729,274.555,301.827,811.000,305.774
232.053,1456.674,1913.336,286.046,319.277,841.477,314.957
207.859,1376.134,1865.771,271.790,314.548,807.220,305.473
230.253,1413.872,1924.450,292.979,300.405,832.392,314.150
201.506,1460.151,1903.250,306.080,315.711,837.340,315.130
224.282,1415.186,1935.200,307.836,311.583,838.818,314.441
221.953,1478.116,1802.236,304.336,301.312,821.591,302.688
223.288,1468.401,1935.193,298.887,320.592,849.272,318.548
213.341,1410.157,1831.721,304.714,299.738,811.934,301.713
217.612,1383.180,1942.957,317.487,306.592,833.566,313.449
228.800,1382.576,1936.729,309.252,339.074,839.286,310.057
226.459,1388.395,1953.671,314.399,330.714,842.728,313.243
231.759,1437.349,1905.500,318.937,322.387,843.186,309.932
228.588,1405.198,1881.729,306.605,322.396,828.903,305.305
243.553,1423.331,1860.993,314.025,322.741,832.929,302.153
244.276,1405.337,1818.600,341.941,329.863,828.004,292.557
248.129,1412.913,1903.929,314.987,337.807,843.553,305.827
242.553,1466.058,1949.571,315.832,335.054,861.814,316.694
249.094,1462.227,1913.814,337.303,332.268,858.941,309.717
244.288,1476.349,1948.779,335.971,335.667,868.211,315.824
283.524,1515.907,1882.114,342.088,329.241,870.575,307.027
278.118,1472.860,1955.857,344.861,342.571,878.854,312.820
272.035,1443.837,1937.779,340.765,336.381,866.159,309.307
297.047,1485.698,1900.043,332.424,342.318,871.506,305.665
294.118,1467.779,1917.386,346.828,333.000,871.822,306.468
301.259,1420.756,1943.679,352.252,326.759,868.941,306.121
308.371,1428.564,1957.257,341.336,345.628,876.231,307.494
329.306,1438.430,1944.979,337.244,331.440,876.280,306.250
306.618,1448.355,1974.850,338.513,335.149,880.697,312.446
334.029,1406.576,1924.114,333.080,342.057,867.971,300.221
365.988,1463.238,1915.171,339.651,340.104,884.831,300.620
353.894,1481.820,1950.114,347.882,343.193,895.381,306.871
351.418,1471.151,1942.700,330.702,342.259,887.646,306.515
379.847,1427.180,1897.429,311.630,338.839,870.985,296.662
404.347,1465.064,2021.307,316.920,345.006,910.529,314.308
384.047,1473.738,1995.443,309.874,338.125,900.245,313.645
406.288,1495.273,1943.379,314.450,350.458,901.970,305.391
399.488,1525.186,1891.271,300.252,338.015,890.843,303.255
394.729,1510.837,2018.479,297.803,317.068,907.783,321.345
425.206,1441.634,1979.543,288.055,340.182,894.924,308.023
388.565,1483.215,1982.036,263.315,338.759,891.178,315.752
406.929,1484.674,1925.493,235.672,328.271,876.208,309.966
401.629,1426.238,1956.664,247.059,341.420,874.602,308.348
430.582,1480.000,1954.000,233.748,342.494,888.165,311.235
415.247,1500.773,1927.286,236.239,353.000,886.509,309.199
420.318,1431.017,1941.157,213.639,332.092,867.645,308.834
384.700,1447.419,1900.871,226.508,331.122,858.124,305.640
388.859,1491.738,1931.307,217.697,341.565,874.233,312.991
366.488,1489.872,1978.400,226.908,340.301,880.394,319.995
341.129,1496.587,1963.714,221.735,346.682,873.970,320.160
280.571,1544.552,1913.143,222.794,358.423,863.897,320.686
241.712,1534.297,1990.621,215.181,349.732,866.309,334.139
218.465,1507.331,1984.114,216.046,342.982,853.788,333.228
204.282,1467.174,1920.079,226.891,345.262,832.738,321.525
206.288,1538.692,1909.286,229.555,323.616,841.487,326.951
190.865,1488.634,1948.079,232.210,326.440,837.246,328.819
196.041,1519.407,1939.950,227.790,359.887,848.615,328.092
195.994,1527.302,1899.921,248.084,355.280,845.316,322.226
198.165,1523.500,1950.207,256.042,335.804,852.743,329.004
213.647,1507.058,1892.429,252.403,346.429,842.393,318.355
201.376,1462.366,1901.921,262.555,350.464,835.737,315.965
210.559,1493.180,1997.707,254.613,327.682,856.748,332.678
219.047,1500.355,1963.293,276.882,348.786,861.673,324.930
223.235,1483.256,1901.407,290.424,344.997,848.664,314.162
263.100,1521.349,1993.464,286.664,337.214,880.358,327.314
268.718,1491.919,1906.479,298.643,344.051,861.962,311.471
291.100,1546.093,1881.500,308.231,337.298,872.844,310.784
314.835,1470.581,1991.079,300.723,353.577,886.159,317.187
299.235,1598.017,2003.600,307.987,347.908,911.350,329.892
331.606,1516.122,1950.321,313.097,341.387,890.507,313.809
356.571,1495.029,1969.114,319.050,350.711,898.095,311.871
348.906,1525.285,1879.757,326.513,356.991,887.490,301.833
363.200,1476.337,1926.450,325.357,336.845,885.638,304.647
403.606,1551.628,2010.979,329.735,345.446,928.279,318.373
384.441,1493.651,1895.664,320.084,353.244,889.417,299.617
400.141,1497.128,1968.536,332.966,338.167,907.388,308.875
413.847,1563.692,1946.929,320.840,351.938,919.449,310.277
434.253,1516.733,1950.186,339.076,362.741,920.598,303.403
452.141,1490.971,1981.700,363.387,330.479,923.736,305.247
463.794,1474.936,1923.107,353.080,358.836,914.751,293.834
424.706,1489.651,1933.629,341.084,340.143,905.843,301.174
429.547,1556.378,1992.436,344.034,344.414,933.362,313.546
493.559,1503.291,1983.500,348.429,349.438,935.643,303.587
441.000,1505.512,1938.086,341.122,357.976,916.739,300.645
475.088,1558.267,2047.986,342.189,337.652,952.236,319.091
480.318,1508.640,1990.371,358.752,353.402,938.296,304.622
472.029,1538.366,1958.029,348.899,349.315,933.328,304.073
474.782,1494.110,1909.200,339.387,355.884,914.673,294.043
515.394,1489.866,1949.971,362.899,344.286,932.483,295.995
486.076,1576.238,1932.114,379.143,344.333,943.581,300.962
521.871,1542.988,1916.029,353.176,326.116,932.036,297.453
520.659,1529.343,1951.186,362.122,365.057,945.673,297.322
499.853,1570.314,2014.121,385.252,353.318,964.572,309.431
502.229,1485.424,1918.714,372.357,347.729,925.291,291.131
511.082,1470.506,1887.443,361.462,336.658,913.430,286.932
519.406,1560.628,1956.150,364.786,356.232,951.440,301.041
473.306,1484.233,1956.843,359.794,339.860,922.807,299.552
410.771,1501.302,1894.357,352.933,342.640,900.401,296.620
436.824,1500.000,1895.257,374.378,341.777,909.647,293.428
392.135,1461.506,1914.914,363.282,343.961,895.160,296.675
344.559,1524.424,1956.336,366.508,350.158,908.397,309.894
274.953,1480.581,1937.521,353.214,333.908,876.036,311.177
245.971,1506.634,1932.907,385.202,347.976,883.738,311.839
247.059,1558.791,1930.314,378.555,346.518,892.247,316.217
224.794,1527.355,1917.043,360.206,346.366,875.153,314.875
212.182,1541.413,1908.971,371.714,362.890,879.434,314.196
205.212,1505.872,1888.457,369.584,359.146,865.654,309.504
199.876,1563.901,1971.857,379.651,356.429,894.343,325.324
224.541,1550.808,1988.357,382.748,368.967,903.084,323.346
217.665,1553.686,1940.336,386.521,362.167,892.075,317.981
240.682,1551.541,2049.564,392.244,336.961,914.198,331.935
241.376,1521.500,2008.714,382.882,341.756,899.246,324.243
247.229,1541.035,1913.336,362.882,344.753,881.847,313.626
261.729,1525.273,1987.079,391.349,362.955,905.677,317.936
304.612,1578.622,1985.550,358.580,336.771,912.827,322.675
308.765,1491.070,1952.350,368.723,342.408,892.663,309.791
322.882,1525.890,2012.586,382.546,348.301,918.441,318.313
346.500,1528.105,1954.064,371.487,342.125,908.456,309.976
352.294,1542.773,2037.364,375.433,336.161,928.805,322.222
378.635,1628.948,1971.093,390.996,352.893,944.513,316.160
351.976,1550.924,1993.257,384.303,350.396,926.171,315.203
403.029,1573.372,1952.193,400.000,359.509,937.621,306.109
391.153,1537.942,1938.500,380.261,354.768,920.525,303.953
400.665,1531.395,1982.764,381.903,354.830,930.312,308.637
407.388,1537.953,1947.029,382.567,341.131,923.214,304.847
442.053,1540.552,2086.386,371.992,366.863,961.569,320.725
402.106,1532.634,2064.257,394.261,353.461,949.344,319.119
402.918,1592.221,1999.371,395.513,367.774,951.559,313.647
436.935,1540.372,1965.029,371.534,338.545,930.483,306.506
458.753,1613.471,1932.964,413.945,346.795,953.186,303.242
469.259,1520.244,1917.586,391.408,370.574,933.814,292.504
447.171,1516.081,2035.100,404.181,365.217,953.550,309.228
459.847,1533.436,1941.550,389.227,338.506,932.513,300.045
463.341,1519.453,1886.857,374.218,356.896,920.153,291.044
468.247,1521.849,1975.257,395.613,345.833,941.360,302.142
511.888,1562.023,1952.229,383.336,351.804,952.256,299.993
497.006,1542.157,2039.536,394.454,345.402,963.711,310.881
507.735,1530.919,1998.771,391.941,339.152,953.704,304.466
472.700,1561.779,1980.857,372.807,354.443,948.517,306.763
492.882,1542.151,1930.800,399.139,347.021,942.399,295.859
511.494,1491.453,1947.329,395.307,346.432,938.403,293.355
487.971,1554.267,1909.179,377.013,353.717,936.429,295.403
511.241,1522.581,1940.729,370.361,339.381,936.859,297.313
500.459,1544.169,1937.793,402.357,349.018,946.759,296.101
529.059,1545.826,1974.907,409.126,350.836,961.951,298.895
515.900,1590.512,1968.800,390.487,338.476,960.835,304.833
541.359,1573.558,1933.079,407.332,346.461,960.358,295.328
515.865,1571.953,2040.279,398.651,350.598,975.469,311.386
567.335,1543.134,1964.836,392.546,343.268,962.224,297.070
521.471,1585.576,1933.036,400.286,352.006,958.475,297.548
540.959,1565.750,1942.736,386.559,338.807,954.962,298.187
556.382,1545.930,1980.564,387.172,331.914,960.393,301.357
541.782,1517.762,1940.329,399.105,345.658,948.927,292.469
513.065,1592.727,1941.236,388.706,360.664,959.279,299.900
514.718,1593.047,2010.693,387.887,357.815,972.832,309.328
551.806,1558.628,1997.043,389.437,346.393,968.661,303.455
563.465,1577.041,1927.550,405.034,352.080,965.034,293.364
540.129,1591.581,1964.607,395.761,351.295,968.675,301.525
541.812,1554.000,1947.279,411.370,352.943,961.481,294.750
535.818,1509.203,1934.921,404.584,346.747,946.255,290.905
548.559,1555.483,1954.121,393.895,348.030,960.018,297.129
526.871,1567.808,1984.086,386.399,348.857,962.804,303.859
547.888,1516.674,1936.107,389.197,349.164,947.806,291.938
532.682,1556.855,1947.321,385.017,354.643,955.304,297.361
559.641,1532.366,1900.471,396.853,354.396,948.746,286.750
554.082,1536.070,2104.400,393.370,350.074,987.599,315.946
562.888,1580.547,1994.079,413.122,347.899,979.707,302.251
573.682,1612.110,1954.500,420.668,368.604,985.913,296.701
557.024,1526.483,1962.393,409.433,354.580,961.982,293.784
549.194,1559.988,1918.857,388.891,354.268,954.240,292.648
595.082,1575.907,1937.600,398.903,352.161,971.931,293.380
566.647,1512.645,2057.493,407.466,336.033,976.057,307.114
573.629,1555.535,1982.386,388.492,353.485,970.705,299.541
584.235,1576.953,1995.443,403.500,350.190,982.064,301.536
556.694,1521.622,1934.814,409.790,337.054,951.995,291.123
573.012,1530.320,1943.857,390.605,335.866,954.732,293.708
540.053,1547.570,1889.450,386.550,356.866,944.098,288.224
539.371,1559.384,1931.029,383.958,350.583,952.865,295.435
550.882,1555.349,1897.050,387.286,334.997,945.113,291.026
558.971,1541.314,1953.229,387.840,337.405,955.752,296.658
574.706,1558.674,2023.314,413.538,355.182,985.083,303.235
599.676,1593.262,2054.936,401.672,367.000,1003.309,308.787
578.147,1590.558,2064.136,382.979,352.789,993.722,313.592
571.788,1647.262,1996.629,393.706,358.042,993.485,308.225
575.694,1576.907,2022.986,394.105,346.414,983.221,306.740
565.359,1508.186,2027.436,386.525,341.363,965.774,303.782
552.988,1580.959,1949.050,397.416,344.655,965.014,298.295
558.206,1567.651,1922.307,389.706,345.682,956.710,293.890
556.612,1582.424,2043.857,386.618,342.342,982.371,311.939
578.424,1568.686,1938.857,413.647,357.818,971.486,292.214
580.671,1572.453,1900.650,404.227,333.949,958.390,290.146
565.453,1561.866,1983.529,402.244,338.946,970.408,300.784
622.418,1564.907,1992.493,392.655,352.009,984.896,298.955
626.235,1563.308,1904.743,405.324,334.485,966.819,287.515
