0059-0047,0036-0041,0036-0055,0020-0009,0038-0115,0052-0095,0075-0096,0103-0061,0102-0035,0089-0037,0063-0028,0035-0012,0075-0069,0034-0017,Average,Err
1521.641,588.246,520.336,413.210,538.275,613.708,365.769,459.402,386.353,388.759,488.670,777.912,357.434,746.571,583.306,77.597
1505.048,571.673,517.971,400.457,483.006,556.632,365.378,441.561,412.129,400.675,488.612,728.441,341.956,704.943,565.606,75.834
1530.987,566.612,515.033,437.048,530.060,641.066,343.744,514.024,360.965,402.048,465.952,726.618,358.037,654.286,574.748,77.068
1515.282,582.848,541.283,414.438,523.802,589.208,362.955,497.744,371.224,398.880,494.142,748.787,363.493,731.200,581.092,76.357
1580.075,571.618,575.008,411.124,539.790,595.915,368.923,456.537,404.812,391.446,496.655,728.919,354.441,785.657,590.066,80.735
1534.423,571.016,538.230,410.514,525.443,546.726,341.083,471.963,371.000,401.084,500.818,741.162,351.272,772.571,576.950,78.621
1560.782,592.935,526.328,417.857,542.808,623.981,370.840,478.598,410.800,379.855,483.827,745.000,333.272,710.571,584.104,79.265
1548.683,556.330,559.369,399.714,522.701,615.755,366.186,493.463,400.776,400.614,484.700,797.235,348.699,743.171,588.385,79.196
1530.068,560.883,551.549,425.295,493.371,563.925,364.891,473.878,381.612,381.301,517.185,770.868,361.044,784.657,582.895,78.310
1532.396,588.586,560.258,438.543,547.000,602.151,356.500,512.354,373.918,397.241,475.658,702.382,335.581,839.800,590.169,78.609
1546.714,557.039,542.869,419.619,529.629,600.189,352.628,463.476,388.176,401.470,476.330,751.316,348.912,694.714,576.649,78.427
1513.150,566.958,535.205,402.867,493.485,571.151,345.827,439.976,378.918,397.904,497.848,697.640,340.125,746.457,566.251,77.034
1529.119,558.540,555.135,422.838,504.156,569.113,350.846,517.341,390.082,349.325,472.552,738.243,344.441,695.943,571.263,77.678
1574.134,560.595,560.525,389.752,497.210,636.491,371.135,488.280,396.035,381.855,491.930,763.235,358.257,768.314,588.411,80.983
