0007-0009,0022-0023,0037-0064,0001-0070-0060,0049-0080,0061-0081,0064-0093,0039-0090,0049-0096,0065-0111,0086-0112,0106-0122,0124-0109,0108-0046,0105-0025,0100-0012,0079-0020,0047-0003,0125-0015,Average,Err
330.246,634.121,444.964,340.337,851.551,1014.364,674.514,338.883,342.586,448.653,419.819,530.123,279.491,341.442,349.021,1074.590,312.130,393.175,260.791,493.726,54.811
356.038,612.520,451.667,342.422,790.764,996.873,633.847,391.894,351.257,470.213,442.500,515.310,259.412,362.788,368.361,1087.640,326.178,352.125,275.488,494.068,52.350
358.869,617.956,450.705,340.837,780.854,1023.600,651.892,346.638,353.500,438.634,423.119,532.364,288.211,343.423,359.812,1026.495,316.351,372.900,264.209,488.967,51.643
339.005,607.553,455.039,335.840,777.056,934.164,619.793,370.170,350.850,480.757,442.706,506.332,270.061,341.510,369.503,1011.710,328.568,370.975,291.651,484.381,47.965
335.563,625.179,449.438,340.822,824.258,914.836,610.126,402.638,337.571,443.559,437.000,500.160,287.175,357.606,344.419,1010.735,315.984,341.375,277.302,481.882,48.695
330.656,623.791,453.179,341.196,780.506,892.964,582.468,404.532,350.186,461.520,421.113,508.016,259.333,356.894,362.099,1087.230,315.903,401.150,249.535,483.277,49.763
344.246,610.114,440.191,333.446,762.449,890.309,609.378,373.723,331.114,469.970,440.438,537.594,290.728,371.538,375.953,1045.675,304.535,333.475,277.860,481.197,48.043
344.645,632.234,453.271,343.705,784.225,887.127,531.982,375.479,342.543,453.812,417.512,541.936,291.649,362.404,362.126,1056.445,321.022,376.625,271.674,481.601,48.089
354.273,625.956,438.151,344.605,694.483,780.673,520.766,375.415,334.071,458.455,427.269,524.080,278.579,340.365,345.293,1035.195,342.227,349.300,257.302,464.551,44.043
346.251,611.465,442.079,353.864,721.506,764.636,499.054,375.160,334.550,451.980,433.100,530.390,299.298,352.125,349.016,1008.810,327.103,387.125,270.558,466.214,42.366
