0001-0061-0035,0001-0091-0099,0001-0049-0095,0001-0065-0081,0001-0067-0105,0001-0061-0107,Average,Err
652.586,445.206,793.929,728.569,836.232,1144.485,766.835,85.980
664.978,467.259,780.142,723.515,892.253,1251.265,796.568,98.216
659.866,443.951,765.433,707.162,859.848,1055.103,748.561,76.195
658.487,471.134,752.953,727.587,824.798,1071.603,751.094,73.724
657.792,438.972,783.654,750.802,918.818,1132.147,780.364,87.461
635.100,453.781,766.693,676.754,840.131,1163.515,755.996,89.053
663.403,439.899,806.961,693.916,892.444,1169.147,777.628,91.507
647.492,457.640,772.827,712.353,851.707,1201.206,773.871,92.561
652.936,459.713,731.465,709.174,822.515,1205.118,763.487,92.346
632.254,447.397,732.677,703.731,851.485,1124.059,748.600,84.669
638.266,467.943,742.323,694.617,842.091,1104.338,748.263,79.789
643.275,454.879,760.024,729.665,882.424,1180.647,775.152,91.013
645.544,440.081,794.457,745.108,849.172,1174.529,774.815,90.573
640.432,432.579,727.898,680.527,891.747,1119.882,748.844,87.397
645.802,448.680,728.976,705.743,855.051,1058.912,740.527,76.372
649.228,443.360,793.732,697.898,834.758,1166.441,764.236,89.474
644.425,444.785,773.465,726.096,842.394,1175.147,767.719,90.189
629.527,434.356,744.677,694.012,764.071,1094.015,726.776,80.384
638.538,475.032,756.409,695.928,825.283,1160.221,758.569,85.717
638.788,441.368,774.449,690.892,860.525,1136.397,757.070,87.071
653.077,436.186,784.276,732.365,837.788,1134.015,762.951,85.558
627.891,418.514,748.102,692.533,796.960,1138.235,737.039,88.195
622.346,457.721,762.110,710.407,797.798,1154.588,750.828,86.508
632.215,463.903,760.134,699.168,813.899,1160.412,754.955,86.728
618.009,440.547,747.520,681.533,833.455,1167.574,748.106,91.163
620.689,456.676,765.843,711.150,855.384,1197.926,767.945,93.442
632.990,466.984,756.646,746.461,821.646,1229.588,775.719,95.017
628.021,449.543,763.016,682.796,846.778,1225.529,765.947,97.725
628.189,447.109,742.260,703.461,828.525,1192.824,757.061,92.911
625.133,448.304,766.717,687.114,877.343,1136.926,756.923,87.637
641.382,442.692,750.165,660.371,880.384,1184.515,759.918,94.205
628.694,457.923,813.937,663.257,798.475,1203.412,760.950,94.111
616.576,461.733,758.094,692.982,811.556,1208.044,758.164,93.899
617.969,450.036,760.402,682.575,871.455,1162.206,757.440,90.737
607.763,453.089,721.772,676.892,831.081,1200.971,748.594,94.937
614.684,437.753,729.614,697.126,814.909,1185.647,746.622,93.237
608.908,441.150,751.079,674.263,855.343,1234.721,760.911,100.881
615.320,462.198,755.339,687.946,839.818,1163.206,753.971,88.750
614.669,450.231,798.094,653.527,858.101,1159.309,755.655,91.108
613.680,447.514,742.866,675.096,826.667,1141.956,741.296,87.368
608.773,447.462,756.937,713.521,844.505,1113.529,747.455,83.981
601.371,435.725,749.866,677.257,868.131,1113.794,741.024,86.918
601.998,488.130,746.205,660.108,797.010,1203.956,749.568,92.325
605.406,443.514,741.559,696.707,878.646,1179.515,757.558,94.051
601.963,439.498,747.638,670.216,858.000,1126.088,740.567,87.761
576.316,434.223,722.795,618.725,781.374,1195.676,721.518,97.553
597.473,455.340,749.220,662.359,820.859,1141.691,737.824,87.452
597.024,438.134,749.417,681.114,748.182,1242.279,742.692,101.027
590.342,437.765,786.898,656.401,823.071,1166.765,743.540,93.078
587.992,453.457,707.795,681.892,779.303,1139.544,724.997,86.515
575.799,446.020,739.528,637.467,774.131,1076.809,708.292,80.359
574.354,427.611,722.882,637.886,747.687,1160.618,711.840,92.491
590.479,446.053,767.457,682.192,750.960,1152.809,731.658,88.658
584.970,431.826,724.858,686.257,776.030,1143.235,724.530,88.911
574.078,443.211,728.622,642.371,780.636,1213.191,730.352,98.640
564.774,424.049,756.654,627.707,679.859,1160.721,702.294,93.617
567.798,428.737,718.591,583.683,734.667,1115.515,691.498,87.933
564.882,442.304,714.937,614.982,772.131,1150.206,709.907,91.198
564.543,460.648,701.236,609.359,756.960,1103.074,699.303,83.261
558.024,441.251,722.488,592.707,734.677,998.000,674.524,71.732
549.524,438.247,723.646,579.784,696.253,1132.044,686.583,90.025
563.187,435.725,716.504,593.192,741.879,1115.471,694.326,87.308
569.154,440.858,706.244,633.365,742.717,1121.941,702.380,86.374
545.853,430.372,688.283,591.707,749.768,1108.956,685.823,87.693
555.692,422.130,691.276,596.293,770.970,1169.824,701.031,96.412
545.894,432.931,726.094,598.976,708.596,1064.735,679.538,81.061
534.656,441.223,682.890,623.749,725.525,1091.588,683.272,83.786
543.383,427.992,685.748,594.353,712.545,1063.765,671.298,81.210
534.990,429.215,716.236,564.731,729.162,1061.500,672.639,82.690
527.814,428.931,634.654,559.287,733.202,1099.000,663.815,88.136
531.290,425.364,650.606,581.377,750.313,1000.103,656.509,74.841
531.321,465.931,656.780,572.731,741.808,1021.529,665.017,74.366
510.059,439.413,598.331,594.659,676.192,1070.132,648.131,82.805
527.098,427.202,666.118,569.287,739.384,953.824,647.152,69.075
521.162,439.239,661.953,576.605,725.364,1053.868,663.032,80.678
525.441,424.231,639.819,587.126,675.273,1027.309,646.533,77.005
514.398,435.615,599.512,574.491,652.616,983.971,626.767,70.888
