0001-0104-0059,0001-0088-0076,0001-0046-0063,0001-0043-0048,0003-0018-0088,Average,Err
2773.882,520.477,882.557,2572.479,607.845,1471.448,442.970
2734.829,508.547,887.986,2530.664,598.342,1452.074,435.712
2757.529,504.058,957.979,2442.155,563.435,1445.031,429.733
2660.806,521.122,863.486,2396.920,574.324,1403.332,415.954
2581.206,553.703,932.136,2313.042,581.202,1392.258,391.619
2511.535,522.506,935.386,2238.466,572.378,1356.054,379.458
2467.835,538.430,925.821,2066.605,565.693,1312.877,358.324
2351.488,512.884,935.050,1925.445,541.938,1253.361,335.460
2350.376,534.453,886.743,1707.731,577.860,1211.433,316.774
2289.059,556.047,904.600,1576.773,540.554,1173.406,300.751
2127.312,506.250,874.021,1411.571,551.268,1094.084,272.542
1943.859,514.174,912.400,1233.214,575.170,1035.763,233.499
1796.753,563.424,899.307,1215.042,566.869,1008.279,206.790
1563.200,525.023,884.336,1115.777,564.494,930.566,171.481
1360.347,480.831,901.486,1142.882,581.777,893.465,148.009
1287.647,515.727,919.800,1048.824,547.488,863.897,132.397
1226.041,499.622,880.007,1072.525,582.229,852.085,124.301
1033.488,515.279,877.093,1055.399,524.929,801.238,106.285
1114.976,533.267,872.329,1037.824,561.744,824.028,106.963
1088.776,521.674,872.793,1023.782,533.015,808.008,107.181
1026.176,482.430,899.979,1002.399,533.673,788.931,104.553
1029.435,498.965,848.114,1023.945,554.256,790.943,101.135
1075.953,544.919,877.429,1046.403,563.470,821.635,102.280
1059.818,514.267,894.607,1042.345,545.435,811.294,106.018
1007.218,523.134,862.629,1016.084,542.848,790.382,97.134
1052.918,523.076,862.671,1052.517,551.318,808.500,103.890
969.506,479.076,810.950,958.206,559.726,755.493,90.488
998.912,518.599,841.086,1043.038,523.167,784.960,100.998
982.065,493.442,861.729,1010.664,527.946,775.169,99.246
1012.524,488.767,869.757,984.819,519.551,775.084,101.312
1010.735,542.971,824.521,1013.534,538.985,786.149,94.624
1052.324,519.169,860.871,1017.824,548.735,799.784,101.355
1070.853,490.680,871.593,1037.218,515.125,797.094,111.633
939.288,513.628,849.729,967.588,518.420,757.731,89.961
1009.100,526.052,819.964,970.769,526.321,770.441,93.565
985.600,532.244,837.450,984.609,518.667,771.714,93.117
979.694,525.581,856.671,987.752,535.470,777.034,92.390
974.335,522.837,840.343,1000.050,540.967,775.707,92.305
950.065,503.349,839.107,1007.618,515.893,763.206,95.730
984.665,500.878,771.307,975.756,527.060,751.933,93.431
1008.447,516.215,835.079,1009.866,515.661,777.053,99.494
1067.276,530.855,822.743,991.311,511.077,784.652,102.624
1087.153,502.767,821.564,1025.433,527.756,792.935,108.804
1241.035,469.994,811.186,999.664,511.714,806.719,130.582
1459.453,533.733,799.450,973.277,514.780,856.139,155.099
1671.406,532.884,804.907,1013.845,524.411,909.490,188.940
1953.094,551.808,855.879,983.353,498.958,968.618,234.643
2291.924,485.837,823.050,1023.962,502.312,1025.417,297.306
2462.959,511.052,853.007,970.567,507.155,1060.948,324.106
2736.841,509.837,791.064,1035.013,533.432,1121.237,371.265
2767.471,504.099,755.136,1035.218,482.390,1108.863,381.562
2803.282,484.076,807.929,985.971,508.795,1118.010,386.096
2680.476,488.738,784.614,979.134,502.908,1087.174,365.586
2740.606,525.029,771.136,1051.735,530.827,1123.867,371.686
2706.588,513.378,832.621,997.353,528.232,1115.635,365.129
2609.588,511.506,779.814,941.664,504.339,1069.382,352.301
2558.694,533.343,830.507,1004.450,517.780,1088.955,338.763
2443.059,535.988,827.000,956.975,517.613,1056.127,319.152
2347.265,523.477,828.593,1029.929,521.646,1050.182,302.569
2207.129,507.605,800.350,981.706,489.631,997.284,282.860
1963.788,498.820,838.236,1019.029,491.333,962.241,241.513
1919.782,531.110,813.021,956.966,513.473,946.871,230.240
1575.182,528.477,847.579,961.807,496.429,881.895,174.551
1380.194,510.517,813.564,1011.975,529.938,849.238,145.101
1228.441,532.035,876.743,1007.929,509.188,830.867,123.984
1150.653,505.657,834.693,965.580,513.929,794.102,113.116
1081.306,515.285,851.436,985.206,521.324,790.911,104.764
1072.024,516.465,814.793,955.185,509.482,773.590,101.903
1004.424,528.983,893.786,969.714,516.506,782.682,96.272
1055.747,496.645,820.536,944.429,518.696,767.211,100.492
977.929,535.953,809.271,974.134,480.943,755.646,94.604
1010.024,532.087,832.843,950.420,474.372,759.949,97.490
1019.094,531.099,857.600,1005.559,515.268,785.724,99.184
1014.094,502.622,870.243,1011.403,492.366,778.146,105.099
953.000,512.971,852.800,991.118,492.598,760.497,96.292
1039.747,540.017,875.314,976.282,493.312,784.935,100.943
914.353,518.349,844.050,989.950,469.765,747.293,94.993
970.894,542.878,791.486,979.122,488.295,754.535,92.585
957.035,534.593,804.743,943.735,479.080,743.837,90.111
967.012,536.576,842.229,941.265,484.176,754.251,91.281
881.106,500.971,853.786,972.307,502.762,742.186,89.491
957.959,535.971,842.043,969.832,504.810,762.123,90.606
958.982,509.012,834.414,942.786,481.783,745.395,93.354
944.341,512.029,811.057,984.382,492.104,748.783,93.715
938.624,537.826,829.650,986.328,483.598,755.205,92.439
982.500,502.930,890.121,947.391,492.696,763.128,97.783
981.594,529.657,835.507,925.693,482.449,750.980,92.075
960.547,497.558,815.429,950.992,478.682,740.641,95.060
918.571,504.855,792.479,941.109,472.348,725.872,89.670
939.176,507.366,790.071,949.672,475.140,732.285,91.676
967.335,483.337,856.436,971.983,483.738,752.566,99.962
915.241,508.180,837.900,953.681,492.304,741.461,89.674
960.553,535.058,790.571,914.248,465.042,733.094,89.203
930.535,501.610,870.921,932.966,491.399,745.486,91.468
959.059,532.238,821.707,963.118,490.979,753.420,91.372
932.835,513.378,805.871,904.773,475.036,726.379,87.020
964.894,494.256,808.671,938.063,467.205,734.618,95.746
926.065,516.593,788.329,913.534,486.902,726.284,84.876
953.759,483.041,838.079,908.664,483.735,733.455,92.789
908.941,519.320,783.129,893.399,470.628,715.083,82.967
916.376,511.355,815.829,900.475,472.134,723.234,86.078
909.629,527.645,793.921,925.429,471.908,725.706,85.326
949.918,492.709,809.414,907.475,471.842,726.272,91.444
926.353,477.802,812.429,878.269,475.119,713.994,88.231
924.300,514.488,869.000,953.731,481.658,748.635,92.415
946.076,500.192,835.986,955.252,492.405,745.982,93.091
890.271,501.820,805.121,938.508,491.155,725.375,85.747
914.765,519.564,760.036,938.143,469.810,720.463,87.153
934.982,495.134,812.300,915.370,468.527,725.263,90.900
935.794,490.297,790.907,863.584,440.631,704.243,89.840
950.835,485.308,832.536,950.084,489.884,741.729,94.776
954.124,489.709,808.357,957.996,492.509,740.539,94.221
917.829,522.552,780.736,890.761,484.256,719.227,81.619
940.929,475.948,825.393,907.252,474.592,724.823,92.661
932.512,535.320,802.286,894.244,474.491,727.770,83.993
920.606,518.802,808.871,924.706,482.196,731.036,86.364
941.859,486.965,751.493,918.429,472.226,714.194,90.579
918.582,499.401,759.100,939.739,464.527,716.270,90.135
927.182,509.587,785.964,902.063,477.259,720.411,85.702
903.618,503.535,854.636,884.050,468.991,722.966,86.850
861.865,485.174,763.729,912.034,456.804,695.921,84.954
882.053,520.715,775.671,888.521,473.601,708.112,79.368
907.194,499.186,744.793,885.324,482.182,703.736,81.727
886.518,501.924,713.036,887.794,462.574,690.369,81.331
900.500,494.215,751.357,878.483,467.988,698.509,82.670
861.535,505.727,698.807,880.937,442.458,677.893,80.115
867.788,516.924,757.879,905.004,456.223,700.764,81.602
922.376,487.483,701.771,908.727,449.304,693.932,89.632
945.488,465.169,705.829,907.769,459.214,696.694,93.067
894.224,477.314,728.329,888.941,467.613,691.284,84.247
903.718,510.640,785.407,879.017,455.613,706.879,83.950
873.153,498.203,743.071,865.908,460.080,688.083,79.230
869.765,474.436,724.443,890.513,479.098,687.651,81.148
901.635,479.035,727.207,859.777,490.812,691.693,79.791
886.306,518.907,686.779,850.353,473.720,683.213,74.854
926.876,534.791,689.164,855.979,460.574,693.477,80.081
898.788,477.727,701.236,908.080,450.295,687.225,88.036
943.376,500.756,690.486,833.155,471.926,687.940,81.986
883.771,484.535,741.586,887.273,482.250,695.883,81.075
885.347,467.453,707.100,875.748,440.021,675.134,85.759
897.259,485.924,693.900,853.790,474.149,681.004,79.406
846.212,496.419,717.993,879.286,464.110,680.804,77.225
865.953,490.645,679.543,867.987,446.565,670.139,79.945
924.612,501.221,708.221,855.504,472.363,692.384,81.423
875.394,496.140,688.750,869.235,469.333,679.770,78.039
898.224,503.331,675.436,849.571,478.732,681.059,76.971
