0045-0077,0046-0094,0055-0100,0051-0053,0061-0037,0031-0058,0046-0041,0063-0061,0050-0021,Average,Err
727.631,846.936,573.698,1196.291,901.414,836.581,849.184,866.458,689.991,832.020,54.096
722.872,773.417,573.228,1175.543,893.524,811.976,790.147,855.150,632.830,803.188,54.319
679.262,814.298,514.432,1157.185,934.652,836.484,814.920,889.561,622.009,806.978,59.094
706.477,800.013,529.012,1145.940,898.719,802.417,829.491,846.439,622.689,797.911,55.113
685.913,790.681,507.648,1144.225,852.024,751.879,763.331,772.682,613.236,764.624,55.310
669.221,793.723,525.586,1114.046,886.452,779.481,769.252,808.916,619.472,774.017,52.881
667.564,800.081,528.278,1070.848,853.448,792.610,762.933,810.565,624.142,767.830,48.526
692.510,799.745,531.605,1110.338,841.986,812.355,779.540,804.252,604.783,775.235,51.501
696.617,761.043,522.975,1107.119,858.548,793.384,792.804,820.963,610.425,773.764,51.756
646.772,769.366,491.580,1039.364,815.843,791.930,757.908,812.014,631.226,750.667,47.874
667.792,763.557,530.580,1089.311,813.890,754.320,777.288,850.402,595.755,760.322,50.672
708.040,750.885,534.395,1059.364,908.486,782.613,792.736,847.570,610.321,777.157,48.984
715.208,847.072,546.364,1156.940,896.610,817.188,839.288,875.893,639.915,814.942,54.625
720.510,872.285,538.580,1143.914,858.076,863.535,842.411,852.612,619.802,812.414,54.571
743.980,832.136,555.537,1166.033,958.129,855.820,847.337,903.075,637.717,833.307,56.136
703.846,875.409,559.525,1211.768,922.386,876.640,881.018,920.766,609.085,840.049,61.496
772.309,848.715,567.290,1188.444,951.500,898.008,848.288,942.164,658.462,852.798,56.462
789.436,866.570,592.642,1206.285,969.290,872.118,871.485,899.790,637.057,856.075,56.633
749.698,878.936,525.340,1201.742,943.338,848.446,899.276,904.551,663.387,846.079,59.714
768.497,850.051,583.463,1226.199,946.129,857.774,869.166,934.528,647.075,853.653,58.487
738.007,878.098,557.488,1199.742,962.986,868.215,863.031,934.939,639.566,849.119,59.418
767.631,896.732,577.080,1280.728,977.081,922.199,909.663,914.262,585.321,870.077,67.078
760.362,920.702,621.370,1220.589,960.243,907.116,906.061,951.089,656.651,878.243,56.832
776.913,929.183,595.623,1258.377,972.705,920.828,888.356,953.491,594.991,876.718,64.209
765.933,910.323,594.667,1262.728,936.705,929.962,858.865,934.360,642.849,870.710,61.504
785.933,895.643,602.451,1267.894,933.838,882.298,877.202,950.369,589.028,864.962,63.546
741.604,923.596,592.327,1280.715,944.186,889.616,899.282,964.388,600.868,870.731,66.037
741.658,862.979,575.543,1219.384,990.895,916.081,858.429,926.930,643.509,859.490,60.422
734.423,850.332,588.259,1231.689,946.814,911.191,901.779,920.734,614.000,855.469,61.240
773.349,890.468,628.451,1258.570,945.638,892.215,928.669,979.173,615.972,879.167,61.307
766.074,922.826,611.043,1243.901,993.186,882.086,894.202,958.435,605.802,875.284,62.235
786.000,911.234,590.815,1219.768,946.710,884.419,858.540,954.659,624.802,864.105,59.029
781.383,912.932,589.006,1260.662,955.205,908.280,902.411,947.178,626.604,875.962,62.452
726.523,864.489,595.864,1181.351,916.181,868.349,851.282,944.107,565.792,834.882,59.017
768.430,866.319,578.019,1217.477,981.510,885.753,882.374,971.402,573.991,858.364,63.425
746.235,893.677,550.531,1192.252,919.852,837.298,831.466,884.935,560.019,824.029,61.274
771.799,888.740,600.556,1282.245,926.252,885.083,860.982,952.374,568.538,859.619,65.988
747.570,870.885,572.043,1208.868,937.710,887.707,843.264,938.570,597.840,844.940,60.587
724.154,893.328,518.852,1140.616,911.719,864.852,823.613,912.710,582.019,819.096,59.183
714.134,873.843,590.327,1160.437,924.348,866.065,844.387,891.065,597.443,829.116,55.577
726.872,874.243,567.093,1170.232,912.024,871.333,847.245,922.743,550.151,826.882,60.147
738.047,866.651,576.160,1155.450,908.162,882.250,893.123,912.589,558.774,832.356,58.088
758.846,908.932,552.352,1141.040,924.586,873.688,877.656,912.794,567.906,835.311,58.113
739.094,883.834,557.741,1145.358,915.448,862.683,841.031,983.220,545.726,830.459,60.605
789.060,873.383,559.346,1179.106,907.952,878.054,897.675,898.192,546.179,836.550,60.499
759.436,885.609,576.117,1140.179,923.043,856.371,857.387,890.673,603.538,832.484,53.720
752.617,846.540,579.241,1107.066,889.948,850.879,845.405,929.033,543.792,816.058,54.450
720.208,889.791,527.630,1074.205,905.714,855.132,886.877,935.005,559.462,817.114,56.548
780.993,863.689,555.327,1111.861,887.100,890.780,826.748,907.832,556.481,820.090,55.040
747.369,821.204,557.426,1100.060,911.000,825.073,847.160,888.150,514.491,801.326,56.278
702.591,855.549,546.173,1118.583,889.971,854.078,802.074,898.907,564.462,803.599,56.071
720.423,852.289,531.315,1098.219,888.614,828.683,807.172,869.668,573.104,796.610,53.880
703.678,847.221,539.222,1092.642,872.081,851.054,827.129,890.140,535.321,795.388,55.742
723.584,847.630,560.753,1078.894,845.652,845.363,792.883,895.243,519.896,789.989,53.743
733.342,850.945,564.759,1035.331,912.643,844.468,852.571,895.369,549.575,804.334,50.531
730.987,838.740,535.093,1011.245,873.024,826.766,827.724,857.187,553.189,783.773,48.394
746.081,798.902,531.636,992.656,861.524,852.331,777.509,889.836,540.264,776.749,48.399
708.852,793.668,503.099,966.013,839.195,788.954,744.061,819.958,490.104,739.323,48.705
685.624,817.557,537.593,950.868,902.038,811.263,764.706,844.210,521.953,759.535,47.313
674.732,820.749,515.593,980.563,851.338,771.462,739.479,842.911,482.066,742.099,50.854
752.812,854.230,519.877,983.603,880.248,790.712,772.018,837.715,509.302,766.724,49.767
714.705,812.077,526.056,977.179,865.086,779.320,737.589,862.262,502.358,752.959,49.061
675.161,805.987,504.735,935.550,823.976,778.699,696.926,848.140,500.981,730.017,47.203
712.866,815.068,510.772,941.848,847.157,781.946,743.405,853.565,502.311,745.438,47.407
670.732,807.477,507.093,901.927,831.995,775.030,714.006,847.070,484.802,726.681,46.505
663.430,788.345,463.377,894.748,798.676,735.333,713.374,788.173,479.528,702.776,45.885
657.517,756.294,510.148,901.550,785.776,764.847,724.699,810.416,475.594,709.649,43.818
679.577,799.566,507.068,888.152,848.705,756.505,716.883,804.762,497.755,722.108,43.889
658.752,788.523,492.185,878.007,822.876,753.554,691.196,803.173,467.840,706.234,45.358
649.537,792.387,462.611,874.649,811.048,735.336,691.098,840.757,510.009,707.493,45.406
671.268,779.260,473.216,837.139,849.576,754.040,704.239,792.229,448.075,701.005,46.431
627.725,781.077,485.012,844.934,805.771,739.933,718.755,816.388,519.340,704.326,41.302
673.195,806.630,457.951,825.371,837.519,724.559,655.969,814.944,502.708,699.872,44.442
671.107,767.711,439.901,824.848,796.462,730.505,684.699,789.673,471.670,686.286,44.111
653.396,762.370,444.586,840.079,794.505,730.468,673.031,802.336,451.934,683.634,45.961
655.631,770.123,437.191,779.728,771.233,701.790,650.006,761.206,467.198,666.012,41.191
641.483,766.157,439.204,846.430,781.367,705.306,608.957,830.879,463.132,675.880,47.166
617.960,754.136,422.988,798.815,788.071,681.554,653.920,800.692,465.877,664.890,44.478
601.765,756.553,421.210,868.669,803.710,660.212,611.104,813.150,462.538,666.546,49.489
592.685,757.272,410.981,856.450,813.024,669.282,607.129,733.584,476.774,657.465,47.117
574.564,734.430,413.154,875.351,776.590,671.204,630.656,765.121,455.066,655.126,48.121
