0050-0038,0075-0050,0075-0065,0038-0040,0036-0084,Average,Err
781.388,762.933,415.951,715.174,299.426,594.974,88.726
748.118,739.457,426.034,678.801,273.864,573.255,85.006
764.944,732.386,407.227,679.721,280.580,572.972,86.400
740.230,772.233,418.990,708.847,285.012,585.062,87.645
760.966,779.561,447.508,723.526,313.568,605.026,84.518
769.618,729.422,410.451,732.819,303.586,589.179,86.340
796.281,743.018,410.393,720.627,297.741,593.612,89.585
751.090,745.471,440.253,722.704,304.426,592.789,82.866
752.916,728.700,420.815,725.348,298.593,585.274,84.268
736.747,749.377,414.016,754.481,311.605,593.245,85.419
727.112,745.359,423.521,712.774,286.617,579.077,84.183
744.663,735.274,440.510,732.132,297.549,590.026,83.211
742.500,768.722,417.625,699.850,267.969,579.333,89.468
748.539,732.857,440.070,702.139,289.914,582.704,82.555
787.478,775.341,410.477,750.136,306.160,605.918,91.765
726.938,736.919,410.648,714.007,281.370,573.977,85.288
809.882,769.435,442.990,709.286,301.160,606.551,89.094
759.809,759.964,429.763,744.916,293.889,597.668,88.269
783.730,787.045,425.323,715.084,300.377,602.312,89.944
767.635,773.265,443.331,687.777,319.037,598.209,82.291
786.494,783.040,435.609,741.610,305.796,610.510,89.747
783.534,752.888,448.792,766.547,293.562,609.064,89.701
771.978,756.090,410.922,743.561,313.019,599.114,87.785
785.028,746.435,445.451,739.564,296.741,602.644,87.401
770.803,730.395,427.862,716.059,296.099,588.244,85.075
767.449,789.067,420.740,718.084,298.333,598.735,89.634
759.213,778.919,421.990,716.721,295.136,594.396,88.421
766.865,750.435,416.456,728.979,282.988,589.145,89.601
770.792,781.955,417.753,753.965,300.944,605.082,91.324
760.848,773.453,433.471,736.739,290.858,599.074,88.984
779.556,755.054,419.740,714.422,305.531,594.860,86.821
712.326,716.807,417.128,717.125,314.765,575.630,77.926
718.107,787.278,435.612,739.453,290.586,594.207,87.421
754.893,769.229,449.003,757.484,301.259,606.374,87.011
789.472,798.969,429.552,706.711,290.772,603.095,91.979
755.871,756.556,417.008,749.718,302.062,596.243,87.955
789.545,750.574,431.831,747.446,299.679,603.815,89.161
807.478,779.359,428.102,778.268,292.679,617.177,95.816
744.174,766.417,434.836,750.129,312.432,601.598,85.084
773.045,732.435,430.555,706.439,292.395,586.974,85.158
768.090,770.269,440.935,723.627,323.062,605.197,83.520
767.275,783.332,442.654,714.554,299.889,601.541,87.069
789.146,736.166,420.276,734.484,308.704,597.755,87.071
807.758,743.865,432.875,733.296,324.932,608.545,85.990
757.882,748.605,433.789,738.561,302.494,596.266,85.388
774.747,756.749,423.182,734.610,303.438,598.545,87.734
789.438,787.996,457.286,750.031,285.883,614.127,92.039
801.719,757.857,413.867,756.812,303.099,606.671,92.255
785.590,750.197,452.688,726.725,290.611,601.162,87.288
815.640,798.951,422.250,741.488,305.056,616.677,94.509
816.680,758.435,431.940,745.484,285.525,607.613,93.822
777.719,763.919,437.536,749.937,311.241,608.071,87.266
798.213,752.874,445.669,727.641,293.691,603.618,88.663
779.292,767.368,425.932,751.690,298.784,604.613,90.353
798.118,747.215,429.812,768.686,306.994,610.165,90.261
784.961,747.278,428.935,737.394,278.364,595.386,91.079
767.725,756.404,429.167,747.739,291.778,598.562,89.128
771.556,756.076,457.760,729.648,289.438,600.896,86.551
796.264,762.529,435.154,733.052,310.389,607.478,87.956
787.770,746.892,429.521,727.422,293.204,596.962,88.592
781.944,780.291,428.891,728.355,310.654,606.027,88.295
811.112,784.650,442.138,758.449,301.920,619.654,92.868
756.618,712.444,418.266,734.098,313.784,587.042,82.283
719.899,737.753,418.997,740.488,316.173,586.662,81.368
