0007-0009,0022-0023,0037-0064,0001-0070-0060,0049-0080,0061-0081,0064-0093,0039-0090,0049-0096,0065-0111,0086-0112,0106-0122,0124-0109,0108-0046,0105-0025,0100-0012,0079-0020,0047-0003,0125-0015,Average,Err
523.530,604.487,844.587,284.759,573.629,404.873,355.126,393.362,361.957,519.376,362.738,1244.524,497.772,774.375,705.042,290.510,461.692,360.025,455.860,527.275,52.263
484.683,613.938,850.833,286.744,546.090,436.745,341.036,387.500,378.486,516.173,359.788,1257.706,494.000,840.240,681.325,289.310,484.778,346.200,408.558,526.533,53.843
534.038,581.949,843.165,285.855,508.213,391.109,350.595,404.979,367.643,508.337,362.556,1248.604,434.667,778.731,712.251,296.455,470.038,373.150,411.581,519.153,52.577
528.770,603.634,831.341,277.449,479.067,403.927,365.991,420.511,356.357,509.718,371.637,1209.877,498.789,826.817,665.141,286.825,465.654,336.600,473.977,521.689,51.167
520.656,598.099,839.055,292.220,505.629,380.527,350.622,389.160,356.164,509.792,356.788,1258.519,484.912,770.000,680.623,287.200,465.124,389.575,437.070,519.565,52.496
532.311,590.828,841.900,290.340,469.899,371.309,356.892,421.702,366.557,527.381,355.431,1249.620,470.289,824.260,676.120,286.700,476.449,340.450,431.302,519.986,53.189
510.262,608.498,841.906,285.892,463.539,368.345,365.162,412.745,365.164,501.688,362.519,1211.390,469.421,848.808,703.984,299.460,476.827,353.200,433.140,520.103,52.250
543.825,605.853,848.502,302.169,482.629,377.964,346.622,372.330,385.700,528.802,382.800,1258.497,485.132,767.202,694.173,288.825,481.692,350.150,426.744,522.611,52.738
540.033,568.234,839.818,298.732,480.820,359.473,351.757,382.628,351.807,511.366,358.644,1232.000,446.456,801.779,691.173,287.715,482.849,340.050,363.605,509.944,53.003
510.787,578.366,828.141,299.334,442.258,337.091,348.378,394.638,363.064,534.114,360.094,1185.102,447.596,782.327,689.293,294.925,468.751,360.650,399.070,506.525,50.404
528.219,607.846,831.351,295.488,484.899,331.727,334.441,401.415,369.843,519.317,354.006,1227.936,496.482,801.106,680.267,295.470,469.622,394.350,395.581,516.809,52.126
522.246,603.304,843.083,311.530,443.573,334.818,354.369,398.383,369.564,505.342,371.200,1217.519,471.298,794.038,698.634,292.175,479.011,350.075,413.395,514.398,51.870
526.443,600.139,861.203,307.241,458.539,319.091,346.721,401.915,351.279,532.936,358.925,1239.684,460.325,809.048,722.084,286.605,459.968,344.250,449.581,517.683,53.946
506.918,577.234,843.138,307.190,442.697,325.382,289.730,387.128,344.464,523.505,381.587,1204.251,472.439,834.567,682.916,295.420,471.054,355.550,380.326,506.605,52.884
